key	filename	pdf_url	landing_url	access_note
Mao2022RSMAFundamentals	01_mao_2022_rsma_fundamentals.pdf	https://arxiv.org/pdf/2201.03192.pdf	https://arxiv.org/abs/2201.03192	arXiv open preprint
Mao2018RSMABridging	02_mao_2018_rsma_bridging.pdf	https://arxiv.org/pdf/1710.11018.pdf	https://arxiv.org/abs/1710.11018	arXiv open preprint
Joudeh2016RSMASumRate	03_joudeh_2016_rsma_sum_rate.pdf	https://arxiv.org/pdf/1602.09028.pdf	https://arxiv.org/abs/1602.09028	arXiv open preprint
Li2020RSPractical	04_li_2020_rate_splitting_practical.pdf	https://arxiv.org/pdf/2002.07225.pdf	https://arxiv.org/abs/2002.07225	arXiv open preprint
Clerckx2021NOMACritical	05_clerckx_2021_noma_critical.pdf	https://arxiv.org/pdf/2101.04802.pdf	https://arxiv.org/abs/2101.04802	arXiv open preprint
Li2022RSMARISInterplay	06_li_2022_rsma_ris_interplay.pdf	https://arxiv.org/pdf/2205.02036.pdf	https://arxiv.org/abs/2205.02036	arXiv open preprint
Aboumahmoud2024RISRSMASurvey	07_aboumahmoud_2024_ris_rsma_survey.pdf	https://arxiv.org/pdf/2404.06604.pdf	https://arxiv.org/abs/2404.06604	arXiv open preprint
Wu2019IRSBeamforming	08_wu_2019_irs_beamforming.pdf	https://arxiv.org/pdf/1810.03961.pdf	https://arxiv.org/abs/1810.03961	arXiv open preprint
Huang2019RISEnergyEfficiency	09_huang_2019_ris_energy_efficiency.pdf	https://arxiv.org/pdf/1810.06934.pdf	https://arxiv.org/abs/1810.06934	arXiv open preprint
Basar2019RISOverview	10_basar_2019_ris_overview.pdf	https://arxiv.org/pdf/1906.09490.pdf	https://arxiv.org/abs/1906.09490	arXiv open preprint
DiRenzo2020SmartRadio	11_di_renzo_2020_smart_radio_environments.pdf	https://arxiv.org/pdf/2004.09352.pdf	https://arxiv.org/abs/2004.09352	arXiv open preprint
Bjornson2020RISMyths	12_bjornson_2020_ris_myths.pdf	https://arxiv.org/pdf/2006.03377.pdf	https://arxiv.org/abs/2006.03377	arXiv open preprint
Wu2021IRSTutorial	13_wu_2021_irs_tutorial.pdf	https://arxiv.org/pdf/2007.02759.pdf	https://arxiv.org/abs/2007.02759	arXiv open preprint
Xu2021STARRIS	14_xu_2021_star_ris.pdf	https://arxiv.org/pdf/2101.09663.pdf	https://arxiv.org/abs/2101.09663	arXiv open preprint
Mu2021STARAided	15_mu_2021_star_ris_aided_wireless.pdf	https://arxiv.org/pdf/2104.01421.pdf	https://arxiv.org/abs/2104.01421	arXiv open preprint
Liu2021STARCoupledPhase	16_liu_2021_star_coupled_phase.pdf	https://arxiv.org/pdf/2110.02374.pdf	https://arxiv.org/abs/2110.02374	arXiv open preprint
Wang2022STAROptimization	17_wang_2022_star_optimization_framework.pdf	https://arxiv.org/pdf/2208.01942.pdf	https://arxiv.org/abs/2208.01942	arXiv open preprint
Khalid2022STARDesign	18_khalid_2022_star_design_guidelines.pdf	https://arxiv.org/pdf/2212.01097.pdf	https://arxiv.org/abs/2212.01097	arXiv open preprint
Zhong2022HybridRLSTAR	19_zhong_2022_hybrid_rl_star.pdf	https://arxiv.org/pdf/2205.05029.pdf	https://arxiv.org/abs/2205.05029	arXiv open preprint
Meng2024PPOSTARRSMA	20_meng_2024_ppo_star_rsma.pdf		https://repository.hkust.edu.hk/ir/Record/1783.1-130078	metadata only; publisher PDF not redistributed
Ge2024RSMAMassiveMIMO	21_ge_2024_star_rsma_massive_mimo.pdf	https://www.pure.ed.ac.uk/ws/portalfiles/portal/441108181/ieee_Sj_final0506.pdf	https://www.research.ed.ac.uk/en/publications/a-rate-splitting-strategy-in-star-ris-aided-massive-mimo-systems-/	CC-BY accepted author manuscript
Liu2024DiscretePhaseRSMARate	22_liu_2024_discrete_phase_star_rsma.pdf		https://pmc.ncbi.nlm.nih.gov/articles/PMC11397873/	Open full text on PubMed Central; no stable direct PDF endpoint for CI
Chang2024CovertSTARRSMA	23_chang_2024_covert_star_rsma.pdf	https://arxiv.org/pdf/2312.01042.pdf	https://arxiv.org/abs/2312.01042	arXiv open preprint
Maghrebi2024CooperativeActiveSTAR	24_maghrebi_2024_cooperative_active_star.pdf		https://espace2.etsmtl.ca/id/eprint/29442/	metadata only; no unrestricted PDF identified
Hashempour2024SecureSTARRS	25_hashempour_2024_secure_star_rsma.pdf	https://zenodo.org/records/12750995/files/a90-hashempour%20final.pdf?download=1	https://zenodo.org/records/12750995	Zenodo open author manuscript
Liu2025STARRSMAISAC	26_liu_2025_star_rsma_isac.pdf	https://arxiv.org/pdf/2411.09154.pdf	https://arxiv.org/abs/2411.09154	arXiv open preprint
Fujimoto2018TD3	27_fujimoto_2018_td3.pdf	https://arxiv.org/pdf/1802.09477.pdf	https://arxiv.org/abs/1802.09477	arXiv open preprint
Lillicrap2015DDPG	28_lillicrap_2015_ddpg.pdf	https://arxiv.org/pdf/1509.02971.pdf	https://arxiv.org/abs/1509.02971	arXiv open preprint
Lowe2017MADDPG	29_lowe_2017_maddpg.pdf	https://arxiv.org/pdf/1706.02275.pdf	https://arxiv.org/abs/1706.02275	arXiv open preprint
Scutari2017SCA	30_scutari_2017_sca_theory.pdf	https://arxiv.org/pdf/1410.4754.pdf	https://arxiv.org/abs/1410.4754	arXiv open preprint
