n_ris,seed,scenario,bank_checksum,checkpoint_step,actor_repeats,decode_repeats,end_to_end_repeats,td3_actor_ms,td3_decode_ms,td3_decision_ms,td3_end_to_end_ms,td3_sum_rate,td3_qos_fraction,td3_all_qos,td3_violation,ao_sca_end_to_end_ms,ao_sca_iterations,ao_sca_evaluations,ao_sca_sum_rate,ao_sca_qos_fraction,ao_sca_all_qos,ao_sca_violation,ao_grid_end_to_end_ms,ao_grid_iterations,ao_grid_evaluations,ao_grid_sum_rate,ao_grid_qos_fraction,ao_grid_all_qos,ao_grid_violation,analytical_ris_end_to_end_ms,analytical_ris_iterations,analytical_ris_evaluations,analytical_ris_sum_rate,analytical_ris_qos_fraction,analytical_ris_all_qos,analytical_ris_violation
64,0,0,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22002892,0.06637927,0.28640819,0.56553025,11.81170418070149,1.0,1.0,0.0,1564.009167,15,6100,17.763042761410148,1.0,1.0,0.0,543.074856,2,2815,3.982028889068931,1.0,1.0,0.0,0.254905,0,1,1.982054689354692,0.0,0.0,0.01794531064530802
64,0,1,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21753717000000003,0.06901861000000001,0.28655578000000004,0.59007245,12.283028764106984,1.0,1.0,0.0,1272.676995,12,4881,18.114464682724275,1.0,1.0,0.0,541.056648,2,2815,3.9820402906866796,1.0,1.0,0.0,0.241115,0,1,1.9820602466789432,0.0,0.0,0.017939753321056795
64,0,2,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22681514,0.07460139,0.30141653,0.6625444,11.774812593452694,1.0,1.0,0.0,2138.736762,20,8121,18.272105906213966,1.0,1.0,0.0,545.404795,2,2815,3.98204298417155,1.0,1.0,0.0,0.26314,0,1,1.982064486012842,0.0,0.0,0.01793551398715809
64,0,3,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21907132,0.06967203,0.28874335,0.5770107999999999,11.31902245768819,1.0,1.0,0.0,1973.190031,19,7720,18.11702277439041,1.0,1.0,0.0,544.999518,2,2815,3.9820355553426063,1.0,1.0,0.0,0.23872,0,1,1.9820634864544755,0.0,0.0,0.017936513545524446
64,0,4,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20543679,0.06807183,0.27350862,0.5569086999999999,11.487488529989472,1.0,1.0,0.0,703.600429,7,2839,17.232136835373826,1.0,1.0,0.0,519.418019,2,2815,3.982011463261111,1.0,1.0,0.0,0.234802,0,1,1.9820564225228123,0.0,0.0,0.017943577477187722
64,0,5,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.2069632,0.06661153,0.27357473,0.5380528,10.134748896098806,1.0,1.0,0.0,1366.899912,13,5276,18.235942606975904,1.0,1.0,0.0,542.356504,2,2815,3.9820454695621175,1.0,1.0,0.0,0.297716,0,1,1.9820658219973013,0.0,0.0,0.017934178002698642
64,0,6,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21717189,0.06710724,0.28427913,0.5551982,13.364176295774609,1.0,1.0,0.0,430.472118,4,1628,17.252351524815623,1.0,1.0,0.0,540.842242,2,2815,3.9820333054878994,1.0,1.0,0.0,0.23722,0,1,1.982059288850408,0.0,0.0,0.017940711149591837
64,0,7,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21795989,0.06718527,0.28514516,0.5678763,11.089740287301751,1.0,1.0,0.0,1810.269571,17,6900,18.102910430225197,1.0,1.0,0.0,531.578064,2,2815,3.9820414986653176,1.0,1.0,0.0,0.235971,0,1,1.9820620846110555,0.0,0.0,0.017937915388944514
64,0,8,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.2098712,0.06517782999999999,0.27504903,0.5442598000000001,11.366814847971332,1.0,1.0,0.0,1258.133786,12,4883,17.678026676619496,1.0,1.0,0.0,544.281509,2,2815,3.9820357279275993,1.0,1.0,0.0,0.245729,0,1,1.9820535459039266,0.0,0.0,0.01794645409607354
64,0,9,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20739891,0.0649214,0.27232031,0.545126,9.3645027058258,1.0,1.0,0.0,997.379144,10,4066,17.337599890186354,1.0,1.0,0.0,515.825828,2,2815,3.982027570931528,1.0,1.0,0.0,0.226556,0,1,1.982051936964504,0.0,0.0,0.01794806303549612
