method,n_ris,seeds,sum_rate_mean,sum_rate_std,sum_rate_ci95_low,sum_rate_ci95_high,qos_fraction_mean,qos_fraction_std,qos_fraction_ci95_low,qos_fraction_ci95_high,all_qos_mean,all_qos_std,all_qos_ci95_low,all_qos_ci95_high,violation_mean,violation_std,violation_ci95_low,violation_ci95_high
analytical_ris,16,1,1.981170345194901,0.005118107071378141,,,0.0,0.0,,,0.0,0.0,,,0.018829654805098676,0.005118107071378151,,
ao_grid,16,1,3.9813814750837957,0.00023369754754920896,,,1.0,0.0,,,1.0,0.0,,,0.0,0.0,,
ao_sca,16,1,15.213727359291637,1.2288128267355711,,,0.995,0.04002001501251094,,,0.983,0.1293357171384909,,,1.3047044744000011e-05,0.00017002343822266757,,
td3,16,8,10.766148397780512,0.9435312381728265,9.977336542456843,11.55496025310418,0.98925,0.006991065727054789,0.9834053227876938,0.9950946772123062,0.97975,0.013708704221354102,0.9682892364625144,0.9912107635374856,0.00822519828167809,0.004527509925514105,0.004440105261062122,0.012010291302294057
analytical_ris,32,1,1.9819768496904375,0.00021121520087390215,,,0.0,0.0,,,0.0,0.0,,,0.018023150309562405,0.00021121520087390746,,
ao_grid,32,1,3.9819040838951616,4.359319000702939e-05,,,1.0,0.0,,,1.0,0.0,,,0.0,0.0,,
ao_sca,32,1,16.452378356819192,1.0209009383749021,,,0.99975,0.00790569415042095,,,0.999,0.0316227766016838,,,1.274744523943e-07,4.031096130486924e-06,,
td3,32,8,10.715992605820924,0.7625616253167972,10.078475133024124,11.353510078617724,0.9961875,0.0029542644721535327,0.9937176730932523,0.9986573269067477,0.994375,0.0037392703642746775,0.9912488917438365,0.9975011082561636,0.002493966801056401,0.0009228664570023697,0.0017224311351321337,0.0032655024669806685
analytical_ris,64,1,1.9820590914625897,5.704506481402951e-06,,,0.0,0.0,,,0.0,0.0,,,0.01794090853741025,5.704506481391711e-06,,
ao_grid,64,1,3.98203419475619,7.3838448863265455e-06,,,1.0,0.0,,,1.0,0.0,,,0.0,0.0,,
ao_sca,64,1,17.805896951929185,0.48704415496284825,,,1.0,0.0,,,1.0,0.0,,,0.0,0.0,,
td3,64,8,11.702440761363977,0.575506488345927,11.221305296573137,12.183576226154818,0.997,0.0033567628964312063,0.9941936759896332,0.9998063240103668,0.994375,0.0070089228844381,0.9885153938305205,1.0002346061694796,0.00269477567232496,0.00390329938251661,-0.0005684642748432591,0.0059580156194931795
analytical_ris,96,1,1.982070164092587,1.70482993614557e-06,,,0.0,0.0,,,0.0,0.0,,,0.01792983590741293,1.7048299361386787e-06,,
ao_grid,96,1,3.982058619867791,2.771791967396809e-06,,,1.0,0.0,,,1.0,0.0,,,0.0,0.0,,
ao_sca,96,1,18.87996717037517,0.3233304660611808,,,1.0,0.0,,,1.0,0.0,,,0.0,0.0,,
td3,96,8,12.063610540218914,0.18903561687393652,11.905572809579125,12.221648270858703,0.9994375,0.000741017640044514,0.9988179937496261,1.000057006250374,0.9984999999999999,0.0024494897427831805,0.9964521753277158,1.000547824672284,0.0005287992151682766,0.001009186545638317,-0.00031490185081257407,0.0013725002811491272
analytical_ris,128,1,1.9820737737715548,7.472867280887026e-07,,,0.0,0.0,,,0.0,0.0,,,0.01792622622844515,7.472867280870406e-07,,
ao_grid,128,1,3.982067123581324,1.2737854309133519e-06,,,1.0,0.0,,,1.0,0.0,,,0.0,0.0,,
ao_sca,128,1,19.636259142409646,0.25328299809578003,,,1.0,0.0,,,1.0,0.0,,,0.0,0.0,,
td3,128,8,12.411701224014006,0.1651951752166104,12.273594601380633,12.54980784664738,0.99909375,0.0009994418084968368,0.9982581957381452,0.9999293042618548,0.998375,0.001922609833384969,0.9967676579551592,0.9999823420448408,0.0010038726988776177,0.0011275408798852372,6.122493330078618e-05,0.0019465204644544493
