baseline,n_ris,td3_minus_baseline_mean,td3_minus_baseline_std,cohen_dz,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,paired_t_p_holm,wilcoxon_p_holm,wilcoxon_significant_0_05
ao_sca,16,-4.447578961511125,0.9435312381728265,-4.71375910152586,-13.332524102274972,3.127386248503735e-06,0.0,0.0078125,3.127386248503735e-06,0.1171875,False
ao_sca,32,-5.736385750998272,0.7625616253167969,-7.522520882971472,-21.27690211186617,1.275501692967721e-07,0.0,0.0078125,3.826505078903163e-07,0.1171875,False
ao_sca,64,-6.103456190565206,0.575506488345927,-10.605364690339554,-29.99650115798187,1.1798031337612239e-08,0.0,0.0078125,7.078818802567344e-08,0.1171875,False
ao_sca,96,-6.816356630156257,0.1890356168739365,-36.05858378901119,-101.9890764687725,2.2960990639734063e-12,0.0,0.0078125,2.2960990639734064e-11,0.1171875,False
ao_sca,128,-7.22455791839564,0.16519517521661028,-43.73346805633107,-123.69692730974785,5.951752015915977e-13,0.0,0.0078125,7.142102419099173e-12,0.1171875,False
ao_grid,16,6.784766922696717,0.9435312381728261,7.190823841546149,20.33872120270073,1.7411381496245678e-07,0.0,0.0078125,3.826505078903163e-07,0.1171875,False
ao_grid,32,6.734088521925762,0.7625616253167974,8.830877791848184,24.977494281782143,4.205869648134215e-08,0.0,0.0078125,1.682347859253686e-07,0.1171875,False
ao_grid,64,7.720406566607787,0.5755064883459271,13.414977455418683,37.94328611276483,2.29761247275457e-09,0.0,0.0078125,1.838089978203656e-08,0.1171875,False
ao_grid,96,8.081551920351123,0.1890356168739369,42.75147749400318,120.9194385670149,6.976789911253614e-13,0.0,0.0078125,7.674468902378975e-12,0.1171875,False
ao_grid,128,8.429634100432681,0.1651951752166101,51.02833112032134,144.329915871247,2.0222122462480197e-13,0.0,0.0078125,2.6288759201224258e-12,0.1171875,False
analytical_ris,16,8.784978052585611,0.9435312381728258,9.310744252196635,26.33476159448764,2.914062187500335e-08,0.0,0.0078125,1.4570310937501673e-07,0.1171875,False
analytical_ris,32,8.734015756130486,0.7625616253167969,11.45352121869763,32.39545008882042,6.9088253393095225e-09,0.0,0.0078125,4.836177737516666e-08,0.1171875,False
analytical_ris,64,9.720381669901387,0.5755064883459264,16.890133937219215,47.77251296862699,4.6067070709770166e-10,0.0,0.0078125,4.146036363879315e-09,0.1171875,False
analytical_ris,96,10.081540376126327,0.18903561687393608,53.33143321266011,150.8440723002777,1.4847791553947566e-13,0.0,0.0078125,2.078690817552659e-12,0.1171875,False
analytical_ris,128,10.42962745024245,0.16519517521660965,63.13518198438157,178.5732612504118,4.5578877617829676e-14,0.0,0.0078125,6.836831642674451e-13,0.1171875,False
