method,n_ris,seed,best_validation_step,best_validation_feasible,initial_sum_rate,best_sum_rate,latest_sum_rate,learning_gain_best_minus_initial,latest_gain_minus_initial,best_all_qos,latest_all_qos,best_qos_fraction,best_violation,training_seconds,interactions_per_second,total_wall_seconds,device_name,peak_gpu_memory_mb,config_hash,test_bank_checksum,repository_commit,embedded_runtime_identifier,archive,archive_sha256
ddpg,16,0,10000,True,4.38429084291713,14.016389946788339,8.252993957140443,9.632099103871209,3.8687031142233135,1.0,0.982,1.0,0.0,570.514213559,175.28047088639002,578.950080839,Tesla T4,23.9404296875,239458cb74d0f578daa64b4bc4b869fbaa93007e63c7f462b672d23aeede1328,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n16_seed0.zip,a4c7d9a62b8902e437358fba1af0650ad7379574e39e2f11993accedfd16cf9f
ddpg,16,1,5000,True,4.536029769317427,13.448006266273314,7.952486864324005,8.911976496955887,3.416457095006578,0.994,0.999,0.9955,0.0033311480231771624,590.1728572330001,169.44188261867154,599.412836041,Tesla T4,23.9404296875,239458cb74d0f578daa64b4bc4b869fbaa93007e63c7f462b672d23aeede1328,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n16_seed1.zip,78c413f8105683e2fba5cb7643cc4fdd7dca686d84a05a79b9445ecada0a206b
ddpg,16,2,5000,True,4.533602059170048,12.854434506379459,12.872992803875782,8.320832447209412,8.339390744705735,0.996,0.998,0.997,0.0024320560804492494,574.5998903579999,174.034143893929,584.4422299590001,Tesla T4,23.9404296875,239458cb74d0f578daa64b4bc4b869fbaa93007e63c7f462b672d23aeede1328,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n16_seed2.zip,ca2382408ba7123d7958fe83f1eeb97300ea4e688aadfc64f6a36576a4e7dbf4
ddpg,16,3,80000,True,4.549381521276072,12.788472784718927,12.626823920895221,8.239091263442855,8.077442399619148,0.996,0.997,0.997,0.002574726974450763,629.2476002159999,158.91995450705463,638.688259882,Tesla T4,23.9404296875,239458cb74d0f578daa64b4bc4b869fbaa93007e63c7f462b672d23aeede1328,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n16_seed3.zip,120c011bdb3f00b55b244a41c5e896598891263c13fa52ca8504e7a1c658f50e
ddpg,16,4,45000,True,4.314760930553666,8.298218353428343,8.274623895269091,3.983457422874677,3.959862964715425,0.995,0.992,0.99875,0.0006244140603636374,719.4240145680001,139.0000861453701,730.18230025,Tesla T4,23.9404296875,239458cb74d0f578daa64b4bc4b869fbaa93007e63c7f462b672d23aeede1328,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n16_seed4.zip,0246ce487872b497ab76cea6b614182da1af249fadc2a722e55e74ba1e70cb6c
ddpg,32,0,0,True,4.486211304481104,4.486211304481104,11.988931118630331,0.0,7.502719814149227,0.999,0.991,0.99975,9.25102345982194e-05,631.172124016,158.43538742446907,640.285662563,Tesla T4,26.5810546875,7e3b68943411078c9b1449a8f5722ba7caf90756db149e0a9b085f7b455e9589,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n32_seed0.zip,5bbf9ed3be82bb7a95d07fbc238ac7803b61bd393e2582ac373cd471ee94a34d
ddpg,32,1,0,True,4.346426767152644,4.346426767152644,9.053300565281152,0.0,4.706873798128508,0.999,0.883,0.99975,0.00015613562594004771,627.9285112480001,159.25379754018695,637.070745133,Tesla T4,26.5810546875,7e3b68943411078c9b1449a8f5722ba7caf90756db149e0a9b085f7b455e9589,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n32_seed1.zip,4c6c47252bf447ea809987b6aede591305b16c6992e0c6a489c2e99c4756a2c5
ddpg,32,2,0,True,4.6261293852020025,4.6261293852020025,7.934144949777197,0.0,3.3080155645751947,1.0,0.0,1.0,0.0,608.710049233,164.28182864075296,617.892724071,Tesla T4,26.5810546875,7e3b68943411078c9b1449a8f5722ba7caf90756db149e0a9b085f7b455e9589,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n32_seed2.zip,0843ab0e2d5727615ce3e7ab108d8c931d8170a211f280e7c8d9e3ce02b33789
ddpg,32,3,0,True,4.631921259786835,4.631921259786835,13.866392609620139,0.0,9.234471349833303,0.998,0.911,0.9995,1.2202599069704499e-05,603.9047227799999,165.58903454118143,613.278437111,Tesla T4,26.5810546875,7e3b68943411078c9b1449a8f5722ba7caf90756db149e0a9b085f7b455e9589,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n32_seed3.zip,d9b14e31c5eed5a72b4cb76e7579024bf6121fbbc82d430c4f80f8d5b976469b
ddpg,32,4,0,True,4.567165220068094,4.567165220068094,8.912757626534324,0.0,4.34559240646623,0.994,0.93,0.9985,0.0001106662731581648,582.6452103890001,171.63103414723946,591.247059394,Tesla T4,26.5810546875,7e3b68943411078c9b1449a8f5722ba7caf90756db149e0a9b085f7b455e9589,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_n32_seed4.zip,7d233f0ed177be6ef48a4bd8bfa14079d9daf63350289e51a3d8b9d913e6f0b8
