method,n_ris,count,solve_ms_mean,solve_ms_std,solve_ms_median,solve_ms_p95,solve_ms_p99,solve_ms_min,solve_ms_max,inference_ms_mean,evaluation_ms_mean,checkpoint_step,checkpoint_sha256,cpu_model,runner_os,python_version,torch_version
analytical_ris,16,100,0.20405339,0.021038204063082454,0.20195800000000003,0.23963584999999998,0.2767272100000001,0.142192,0.291994,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_grid,16,100,183.79011834000002,6.102897375631336,182.7981895,191.7157553,212.95684333000003,174.267539,216.959446,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_sca,16,100,734.9702913699999,236.6843761508363,800.842249,957.0136466,1011.4908757900005,74.648494,1105.224154,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ddpg,16,100,0.30172456,0.024188311135385665,0.29634249999999995,0.33611145,0.36372052000000027,0.188102,0.437032,0.12825019000000001,0.17347437,10000,aa02af0fc30792c161b56bbf07e32a77d495f7d01e961fa4bdbe97baddedad5b,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ppo,16,100,0.5130682199999999,0.03347338837139471,0.5097524999999999,0.57979925,0.5997948000000001,0.3441659999999999,0.611952,0.31801898000000006,0.19504923999999996,100000,629157cfc9398317e37dcfc29d310716756ed5680638ca45316a3e324426cda4,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
td3,16,100,0.33555737,0.024731115092332612,0.331739,0.37235664999999996,0.38702839000000017,0.199675,0.439339,0.15908598999999998,0.17647137999999998,5000,54041e8ca633a10fe377aa18ae0465e7314b1e7359b4176004a063ec5315d4d6,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
analytical_ris,32,100,0.20761503,0.016539359710870175,0.204216,0.2357906,0.26062625000000006,0.146747,0.265997,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_grid,32,100,304.94366469,9.372342854522687,302.72979399999997,316.98292375,340.3412007000001,294.345314,368.549835,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_sca,32,100,1062.9989428,298.7139398087832,1037.338103,1447.5976802499997,2052.73427434,98.488147,2084.384311,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ddpg,32,100,0.33012062,0.023014828706279654,0.3316215,0.360595,0.37813851000000015,0.207972,0.410859,0.14284136,0.18727926,0,34713a3ffbe6b1bdc28916658fdf2e94f781dec524095b3da35fe0ab1b59be66,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ppo,32,100,0.54253945,0.03653013843096346,0.5362830000000001,0.6099730499999999,0.6342883500000001,0.419984,0.658578,0.3349972399999999,0.20754221,100000,f4f92a6038626d174a76ac04b8919bd311b2132ade5df81c28deb337a6568715,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
td3,32,100,0.36243712,0.03440432458965447,0.357462,0.4008516999999999,0.4568111400000006,0.194734,0.571863,0.17074995999999998,0.19168716,100000,d8d4fa4a7de7ad903a0429da2c83ca253357a89c55742697ac4f335bec8d9829,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
analytical_ris,64,100,0.2229987,0.016348968768949337,0.22234199999999998,0.2485136,0.2690972500000001,0.153289,0.287932,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_grid,64,100,567.10412298,7.664411037744331,566.1247095000001,580.72943735,590.36131438,553.471288,593.916838,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_sca,64,100,1913.3489094499998,651.9578231845104,1771.7968045,3278.8908816,3933.537245190001,936.411343,4155.127875,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ddpg,64,100,0.36678803000000004,0.025992190298904105,0.36782399999999993,0.40471385,0.43444049,0.235346,0.438845,0.16517627000000001,0.20161176,0,2a012b9e0159a4298fd3c574f8bb8a781561d5544db140ce9706f6f7df56930e,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ppo,64,100,0.5875792000000001,0.03086542006711057,0.585361,0.6397409,0.6620489800000002,0.457594,0.717982,0.37299934999999995,0.21457985000000002,90112,34712ce3aaf2d4db765d19df26ac6f268f04d56b72e5094bad2e99ea71c86403,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
td3,64,100,0.39598331000000003,0.0283353598703764,0.3903295,0.44568454999999996,0.4704717700000001,0.275904,0.4949019999999999,0.19550271,0.2004806,85000,19874e5f8bf868c2ebfffacdd291a0378a796fe46a8ac4d56323c7345fe32f4c,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
analytical_ris,96,100,0.23159359999999998,0.018987384727973487,0.2263185,0.2638347,0.30074129,0.183982,0.301562,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_grid,96,100,866.22285663,16.061645802809352,864.2664445,892.0959548,906.2551376600001,832.725448,923.888984,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_sca,96,100,2804.6565010799995,1083.6009896969101,2487.2611589999997,4810.981324199999,6141.423900310003,1174.736563,6660.795355,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ddpg,96,100,0.4059635799999999,0.026124744686850648,0.4073735,0.43658695,0.45136111000000023,0.243985,0.503446,0.19498136,0.21098222,25000,081cacbaae3932c583b580ea0752d6e6d1f9a04320d00f649871675fc5eacd7b,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ppo,96,100,0.64573167,0.03629831882715615,0.6423825,0.7073161499999999,0.74000599,0.465145,0.749113,0.4308106800000001,0.21492099,100000,cc9a466673db9c24a7d517c5cdc38721ab9894ab26ee4d996074d50754ca4008,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
td3,96,100,0.43517283999999995,0.028526085699013718,0.433494,0.49167865,0.51603202,0.294222,0.5197959999999999,0.22575322,0.20941962000000003,100000,6cd0b29178b3bacd3c9cd2132b290d6d4bc436981527b5f92f06ba559fcda852,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
analytical_ris,128,100,0.24215090999999994,0.018724937645292733,0.2391085,0.2745499,0.28988584000000023,0.172198,0.334123,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_grid,128,100,1149.7721190299999,16.616118966673973,1147.812661,1181.5383731,1200.3822047700003,1122.067969,1218.944682,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_sca,128,100,3731.66219053,1476.3330462960118,3428.0825315,6551.877279549999,8332.28125114,1338.187616,8413.453444,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ddpg,128,100,0.42470886,0.026615004807996882,0.4247725,0.46884235,0.49874423000000007,0.290471,0.509261,0.21279767000000008,0.21191119000000003,0,b271dbe006737550e83392fbf8dd9c7769f53d3db051105c78e5ce343b7d5828,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ppo,128,100,0.68317282,0.03902985898166798,0.67657,0.7494522499999999,0.81367012,0.565643,0.8175429999999999,0.45785282000000005,0.22532,100000,5ff6601afc9735814efe603e50bf72d2ab23d761789645f206623c82f73e9f19,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
td3,128,100,0.4605698200000001,0.031133225622219752,0.4547455,0.51866845,0.5415753900000004,0.41644,0.62418,0.24520642999999998,0.21536339000000002,85000,8316f063c7496934bccf75c55f2a2f677245528b5b81422d15b40114bb427cf1,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
