method,n_ris,seeds,test_scenarios,uncertainty_unit,sum_rate_mean,sum_rate_std,sum_rate_ci95_low,sum_rate_ci95_high,qos_fraction_mean,qos_fraction_std,qos_fraction_ci95_low,qos_fraction_ci95_high,all_qos_mean,all_qos_std,all_qos_ci95_low,all_qos_ci95_high,violation_mean,violation_std,violation_ci95_low,violation_ci95_high
analytical_ris,16,1,1000,scenario,1.981170345194901,0.005118107071378141,1.9808527426695064,1.9814879477202956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018829654805098676,0.005118107071378151,0.018512052279704025,0.019147257330493328
ao_grid,16,1,1000,scenario,16.580237609634896,0.5042238964695726,16.54894815424647,16.61152706502332,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,16,1,1000,scenario,14.344949276360909,4.807928838269609,14.04659476371469,14.643303789007128,0.9635,0.16414839230006092,0.9533138231172383,0.9736861768827617,0.944,0.2300367729666649,0.9297251403675352,0.9582748596324647,2.5313951612996952e-06,1.3777589939349677e-05,1.6764311487138625e-06,3.386359173885528e-06
ddpg,16,5,1000,seed_mean,12.281104371517676,2.2815777021106043,9.448151479702467,15.114057263332885,0.9976499999999999,0.0017464249196572868,0.9954815270516956,0.9998184729483043,0.9962,0.002280350850198278,0.9933685704460354,0.9990314295539645,0.0017924690276881626,0.0014111900798975251,4.02451108571125e-05,0.0035446929445192127
ppo,16,5,1000,seed_mean,6.478316885428027,1.0496248939529023,5.175035442988265,7.78159832786779,0.9984999999999999,0.0009842509842514667,0.9972778909876583,0.9997221090123416,0.9974000000000001,0.0015165750888103116,0.9955169233116516,0.9992830766883485,0.0010332394201609707,0.0010359464973340009,-0.0002530580496439498,0.0023195368899658914
td3,16,5,1000,seed_mean,10.288116201230457,5.437714124130819,3.536302340773105,17.03993006168781,0.9989000000000001,0.0010839741694339128,0.9975540682988312,1.000245931701169,0.9975999999999999,0.0026076809620810618,0.9943621364305826,1.0008378635694173,0.0009179797473746565,0.0008518316228050551,-0.00013970891119386895,0.0019756684059431817
analytical_ris,32,1,1000,scenario,1.9819768496904375,0.00021121520087390242,1.9819637427975445,1.9819899565833305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018023150309562395,0.00021121520087390687,0.018010043416669428,0.01803625720245536
ao_grid,32,1,1000,scenario,18.504410336583263,0.375329153738961,18.481119403935846,18.52770126923068,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,32,1,1000,scenario,17.72558130338402,2.608200092708144,17.563730266540507,17.88743234022753,0.998,0.04469897088298564,0.9952262194133513,1.0007737805866488,0.998,0.04469897088298564,0.9952262194133513,1.0007737805866488,1.6007364363429534e-07,3.5794386899796292e-06,-6.204729904593155e-08,3.8219458631452226e-07
ddpg,32,5,1000,seed_mean,4.531570787338136,0.11896879873261756,4.383851513042296,4.679290061633977,0.9995,0.0005863019699779115,0.9987720099518025,1.0002279900481976,0.998,0.002345207879911717,0.9950880398072098,1.00091196019279,7.430294655322727e-05,6.657282722594639e-05,-8.358136271869728e-06,0.00015696402937832426
ppo,32,5,1000,seed_mean,5.7864495205203985,0.2252946559577339,5.506709257229977,6.06618978381082,0.9997,0.0002738612787525985,0.9993599563096709,1.0000400436903292,0.9992000000000001,0.00044721359549995833,0.9986447109789606,0.9997552890210396,0.00011388782843284534,0.00021725345554516397,-0.0001558679658029467,0.0003836436226686374
td3,32,5,1000,seed_mean,16.172842133355164,0.41727722014538576,15.654724031830092,16.690960234880237,0.9993000000000001,0.0006937218462755599,0.9984386305587123,1.0001613694412879,0.9987999999999999,0.0013038404810405309,0.9971810682152912,1.0004189317847085,0.00030182708718578036,0.00032870330346514387,-0.00010631197081753535,0.000709966145189096
analytical_ris,64,1,1000,scenario,1.98205909146259,5.7045064814000345e-06,1.9820587374712335,1.9820594454539464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01794090853741025,5.704506481386977e-06,0.017940554546053807,0.017941262528766693
ao_grid,64,1,1000,scenario,20.440069892488452,0.26242557915946935,20.423785155669385,20.45635462930752,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,64,1,1000,scenario,19.904968512620894,0.42257024083429673,19.878746049164405,19.93119097607738,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ddpg,64,5,1000,seed_mean,7.085062224994215,5.69734294531447,0.010876604377040522,14.15924784561139,0.9998000000000001,0.00044721359549995833,0.9992447109789606,1.0003552890210397,0.9996,0.0008944271909999167,0.9984894219579209,1.000710578042079,0.00021826299953698483,0.0004880509039377032,-0.00038773223717326487,0.0008242582362472346
ppo,64,5,1000,seed_mean,5.731745688742362,0.43652652427990873,5.1897264192829775,6.273764958201746,0.99985,0.0003354101966249812,0.9994335332342204,1.0002664667657797,0.9998000000000001,0.00044721359549995833,0.9992447109789606,1.0003552890210397,9.697792153013184e-05,0.0002168492248580152,-0.0001722759540144584,0.00036623179707472205
td3,64,5,1000,seed_mean,18.715445808816465,0.13747926012902342,18.544742761014568,18.886148856618362,0.9995499999999999,0.0006708203932499189,0.9987170664684406,1.0003829335315593,0.9994,0.0008944271909999167,0.9982894219579208,1.000510578042079,0.00010851774932452698,0.0002032573034923794,-0.00014385952679393674,0.0003608950254429907
analytical_ris,96,1,1000,scenario,1.982070164092587,1.7048299361462194e-06,1.9820700582999013,1.9820702698852728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01792983590741293,1.7048299361389671e-06,0.01792973011472717,0.017929941700098692
ao_grid,96,1,1000,scenario,21.58621413602814,0.20930328390602476,21.573225886541586,21.599202385514694,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,96,1,1000,scenario,20.91025499632243,0.3819431299569165,20.88655363545997,20.93395635718489,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ddpg,96,5,1000,seed_mean,14.597761382768756,5.64605184583238,7.587262073806781,21.60826069173073,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ppo,96,5,1000,seed_mean,5.729879265336334,1.1883105856751712,4.254396792419044,7.2053617382536235,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
td3,96,5,1000,seed_mean,19.92788870107664,0.1134135964636442,19.787067121440924,20.068710280712356,0.9997,0.00041079191812889017,0.9991899344645063,1.0002100655354937,0.9996,0.0005477225575051667,0.9989199126193418,1.0002800873806583,0.00024811634513243803,0.0004989388630242318,-0.0003713980783894699,0.000867630768654346
analytical_ris,128,1,1000,scenario,1.9820737737715548,7.472867280867001e-07,1.9820737273989117,1.9820738201441979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01792622622844515,7.472867280872992e-07,0.017926179855802155,0.017926272601088148
ao_grid,128,1,1000,scenario,22.3917960807612,0.18592112129721036,22.380258804024958,22.40333335749744,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,128,1,1000,scenario,21.609453290965693,0.39955526990549234,21.584659014295244,21.63424756763614,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ddpg,128,5,1000,seed_mean,8.291102576120334,6.470254840881438,0.25722008099422844,16.324985071246438,0.99875,0.0014252192813739213,0.9969803565287721,1.0005196434712278,0.9964000000000001,0.0053665631459995,0.9897365317475254,1.0030634682524748,0.0001825737692462337,0.00021123329114406124,-7.970700358944115e-05,0.0004448545420819085
ppo,128,5,1000,seed_mean,5.461565877603498,0.20782907667854017,5.203511995311825,5.719619759895171,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
td3,128,5,1000,seed_mean,20.901813873423535,0.10589000116409214,20.770334071208328,21.033293675638742,0.9995499999999999,0.0006708203932499188,0.9987170664684406,1.0003829335315593,0.9994,0.0008944271909999167,0.9982894219579208,1.000510578042079,0.00047315625170104485,0.0006543918314057633,-0.0003393785260741187,0.0012856910294762084
