n_ris,learned_method,baseline_method,td3_median_ms,baseline_median_ms,baseline_over_td3_speedup
16,td3,ao_sca,0.331739,800.842249,2414.073259399709
16,td3,ao_grid,0.331739,182.7981895,551.0301456868201
16,td3,analytical_ris,0.331739,0.20195800000000003,0.6087858225894454
32,td3,ao_sca,0.357462,1037.338103,2901.953502749943
32,td3,ao_grid,0.357462,302.72979399999997,846.8866452937654
32,td3,analytical_ris,0.357462,0.204216,0.571294291421186
64,td3,ao_sca,0.3903295,1771.7968045,4539.233658998359
64,td3,ao_grid,0.3903295,566.1247095000001,1450.376437087128
64,td3,analytical_ris,0.3903295,0.22234199999999998,0.5696264310025247
96,td3,ao_sca,0.433494,2487.2611589999997,5737.706078976871
96,td3,ao_grid,0.433494,864.2664445,1993.7218150654912
96,td3,analytical_ris,0.433494,0.2263185,0.5220798903791056
128,td3,ao_sca,0.4547455,3428.0825315,7538.463891341421
128,td3,ao_grid,0.4547455,1147.812661,2524.0770079088193
128,td3,analytical_ris,0.4547455,0.2391085,0.525807292210698
