n_ris,method_a,method_b,paired_scenarios,mean_difference_a_minus_b,win_fraction_a_gt_b,cohen_dz,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,holm_family,holm_family_size,paired_t_holm_p,wilcoxon_holm_p,paired_t_holm_significant_0_05,wilcoxon_holm_significant_0_05
16,td3,ddpg,1000,-1.99298817028722,0.002,-4.417683506234199,-139.69941861458724,0.0,8.0,3.4067117464579564e-165,all_15_pairs_within_N16,15,0.0,4.9887886784017696e-164,True,True
16,td3,ppo,1000,3.809799315802428,1.0,6.999893532804179,221.35606942343767,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N16,15,0.0,4.9887886784017696e-164,True,True
16,td3,ao_sca,1000,-4.056833075130454,0.13,-0.8447552730930756,-26.713507284116716,4.5910109709468373e-119,121550.0,4.5132183821396734e-45,all_15_pairs_within_N16,15,1.3773032912840513e-118,9.026436764279347e-45,True,True
16,td3,ao_grid,1000,-6.292121408404437,0.0,-15.769016778726922,-498.66009482188485,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N16,15,0.0,4.9887886784017696e-164,True,True
16,td3,analytical_ris,1000,8.306945856035556,1.0,20.543385913242773,649.638903376654,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N16,15,0.0,4.9887886784017696e-164,True,True
32,td3,ddpg,1000,11.641271346017028,1.0,25.086849737463552,793.3158448878196,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N32,15,0.0,4.9887886784017696e-164,True,True
32,td3,ppo,1000,10.386392612834767,1.0,20.70856909232071,654.8624541469915,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N32,15,0.0,4.9887886784017696e-164,True,True
32,td3,ao_sca,1000,-1.5527391700288509,0.026,-0.6015909928777698,-19.02397757335886,4.2011833309210136e-69,25675.0,1.942809092392402e-133,all_15_pairs_within_N32,15,8.402366661842027e-69,1.942809092392402e-133,True,True
32,td3,ao_grid,1000,-2.331568203228098,0.0,-6.099042027479784,-192.86864351927375,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N32,15,0.0,4.9887886784017696e-164,True,True
32,td3,analytical_ris,1000,14.190865283664728,1.0,30.574538788432555,966.8518098061185,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N32,15,0.0,4.9887886784017696e-164,True,True
64,td3,ddpg,1000,11.630383583822251,1.0,39.61172157668747,1252.6326222276857,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N64,15,0.0,4.9887886784017696e-164,True,True
64,td3,ppo,1000,12.983700120074102,1.0,36.117784620752964,1142.1446344098015,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N64,15,0.0,4.9887886784017696e-164,True,True
64,td3,ao_sca,1000,-1.189522703804428,0.012,-2.9921081581329845,-94.61876785271492,0.0,263.0,7.322618934903767e-165,all_15_pairs_within_N64,15,0.0,4.9887886784017696e-164,True,True
64,td3,ao_grid,1000,-1.7246240836719862,0.0,-7.216424105377517,-228.20336734735903,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N64,15,0.0,4.9887886784017696e-164,True,True
64,td3,analytical_ris,1000,16.733386717353874,1.0,55.28985169135838,1748.4186283760548,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N64,15,0.0,4.9887886784017696e-164,True,True
96,td3,ddpg,1000,5.330127318307884,1.0,25.888168470645457,818.6557681739752,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N96,15,0.0,4.9887886784017696e-164,True,True
96,td3,ppo,1000,14.198009435740305,1.0,46.11343740348112,1458.234929346013,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N96,15,0.0,4.9887886784017696e-164,True,True
96,td3,ao_sca,1000,-0.9823662952457941,0.015,-2.6314297958892205,-83.21311657841919,0.0,521.0,1.5869503772087576e-164,all_15_pairs_within_N96,15,0.0,4.9887886784017696e-164,True,True
96,td3,ao_grid,1000,-1.6583254349515024,0.0,-8.734046979645713,-276.1948164659475,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N96,15,0.0,4.9887886784017696e-164,True,True
96,td3,analytical_ris,1000,17.94581853698405,1.0,72.53258771323215,2293.6818175975745,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N96,15,0.0,4.9887886784017696e-164,True,True
128,td3,ddpg,1000,12.610711297303203,1.0,58.04174866108719,1835.4412514806395,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N128,15,0.0,4.9887886784017696e-164,True,True
128,td3,ppo,1000,15.44024799582004,1.0,61.481267268853756,1944.2083800313758,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N128,15,0.0,4.9887886784017696e-164,True,True
128,td3,ao_sca,1000,-0.7076394175421552,0.052,-1.770629544180227,-55.99222251995252,2.29676756276947e-310,8633.0,3.8491684287201163e-154,all_15_pairs_within_N128,15,2.29676756276947e-310,3.8491684287201163e-154,True,True
128,td3,ao_grid,1000,-1.4899822073376647,0.0,-8.071971316470892,-255.25814567595842,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N128,15,0.0,4.9887886784017696e-164,True,True
128,td3,analytical_ris,1000,18.919740099651982,1.0,88.28892496576381,2791.9409505951717,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N128,15,0.0,4.9887886784017696e-164,True,True
