method,n_ris,seeds,training_seconds_mean,training_seconds_std,training_minutes_mean,interactions_per_second_mean,total_wall_seconds_mean,peak_gpu_memory_mb_mean,device_name
ddpg,16,5,616.7917151868,61.884688708501805,10.27986191978,163.33530761028308,626.3351413941999,23.9404296875,Tesla T4
ddpg,32,5,610.8721235332,19.703985927121103,10.181202058886667,163.83821645876597,619.9549256544,26.5810546875,Tesla T4
ddpg,64,5,663.9635661972001,40.49603850441235,11.066059436620002,151.05787722833736,673.5788695150001,31.94677734375,Tesla T4
ddpg,96,5,685.7739404208,17.409162794485074,11.42956567368,145.8969847836322,696.0877703030001,37.66845703125,Tesla T4
ddpg,128,5,704.4197340734002,8.229213560429692,11.740328901223336,141.97626191760617,714.7228239031999,43.57177734375,Tesla T4
ppo,16,5,198.2756533832,14.405740568339299,3.3045942230533334,506.3449157468732,210.69032350160006,38.73046875,Tesla T4
ppo,32,5,197.810152452,12.816815465522293,3.2968358742,507.15546096805355,211.22229101639996,43.68359375,Tesla T4
ppo,64,5,195.44648303720004,6.034265345829971,3.257441383953334,512.0372914061775,208.0279807716,54.09326171875,Tesla T4
ppo,96,5,206.88209293960003,6.941846540422648,3.448034882326667,483.80266789602837,220.50513356439996,67.28076171875,Tesla T4
ppo,128,5,211.3939785664,11.739657558524106,3.5232329761066667,474.1978564759481,225.3222253676,82.1435546875,Tesla T4
td3,16,5,768.9186993474001,55.90267298299246,12.815311655790001,130.58910612626855,778.5420585842,27.67236328125,Tesla T4
td3,32,5,780.406500429,40.33193515919066,13.006775007149999,128.4074792206502,790.2414184958001,31.57861328125,Tesla T4
td3,64,5,820.8523331058001,31.615885550973378,13.680872218430002,121.97080029353019,831.3540853798,39.3935546875,Tesla T4
td3,96,5,872.6091547113999,55.49359782934122,14.543485911856665,114.95852504508805,883.4590114444,47.93017578125,Tesla T4
td3,128,5,899.0247406332,64.95301807324506,14.983745677220002,111.6763221839276,909.8247879384,56.009765625,Tesla T4
