variant,n_ris,seed,sum_rate,all_qos,violation
ddpg_reference,32,0,16.87726442008406,0.996,0.0015721467671992275
ddpg_reference,32,1,16.90678677426197,0.996,0.0008622592707609668
ddpg_reference,32,2,16.90546978774295,0.991,0.0010141497935824784
ddpg_reference,32,3,16.645461412094647,0.983,0.005896481136375499
ddpg_reference,32,4,16.92411504437731,0.999,0.0007393390392542892
td3_noise_reference_dim_0,32,0,16.39322466162066,1.0,0.0
td3_noise_reference_dim_0,32,1,16.79182256162851,0.997,0.0014635405622582085
td3_noise_reference_dim_0,32,2,16.480481891636533,0.99,0.0007072669504401799
td3_noise_reference_dim_0,32,3,16.863512350693593,0.999,0.001102580949755802
td3_noise_reference_dim_0,32,4,16.489843076474592,0.993,0.0034114016038862146
td3_noise_reference_dim_64,32,0,16.49314817960851,0.999,0.0002303615458672478
td3_noise_reference_dim_64,32,1,16.558142727130683,0.994,0.0015511129459296362
td3_noise_reference_dim_64,32,2,15.821924778913097,0.995,0.0019837000230237428
td3_noise_reference_dim_64,32,3,16.410501961487167,0.971,0.007705623841067363
td3_noise_reference_dim_64,32,4,16.348130056135194,0.99,0.004026969887515067
ddpg_reference,128,0,21.02359094581751,1.0,0.0
ddpg_reference,128,1,21.094109498059332,1.0,0.0
ddpg_reference,128,2,20.92116902396783,1.0,0.0
ddpg_reference,128,3,20.991852017691468,1.0,0.0
ddpg_reference,128,4,20.914515295098447,1.0,0.0
td3_noise_reference_dim_0,128,0,20.87676398562204,1.0,0.0
td3_noise_reference_dim_0,128,1,20.835395263480198,0.997,0.0011572325362012492
td3_noise_reference_dim_0,128,2,20.73842472019748,1.0,0.0
td3_noise_reference_dim_0,128,3,21.235856770902387,1.0,0.0
td3_noise_reference_dim_0,128,4,20.949500802099585,1.0,0.0
td3_noise_reference_dim_64,128,0,20.97512875814952,1.0,0.0
td3_noise_reference_dim_64,128,1,20.946687546396724,0.998,0.0010528168288276463
td3_noise_reference_dim_64,128,2,20.830444265598427,1.0,0.0
td3_noise_reference_dim_64,128,3,20.848459298347784,1.0,0.0
td3_noise_reference_dim_64,128,4,20.996899072690493,1.0,0.0
