method,n_ris,seed,best_validation_step,best_validation_feasible,initial_sum_rate,best_sum_rate,latest_sum_rate,learning_gain_best_minus_initial,latest_gain_minus_initial,best_all_qos,latest_all_qos,best_qos_fraction,best_violation,training_seconds,interactions_per_second,total_wall_seconds,device_name,peak_gpu_memory_mb,config_hash,test_bank_checksum,repository_commit,embedded_runtime_identifier,archive,archive_sha256
ddpg,16,0,95000,True,4.345680880309291,14.899997333947063,14.863402344812215,10.554316453637771,10.517721464502923,0.979,0.981,0.98925,0.007887584809199984,833.109187497,120.0322856844741,842.749756672,Tesla T4,24.9873046875,305c037417027bfc93199c0740a2964cd587473ddb0c5a32e9da9dc8ae91f6a6,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n16_seed0.zip,0510cd59231ac9deac88cfb0b46831703caa203b6d26a56ddeb8175ce5ab2f91
ddpg,16,1,85000,True,4.323548684611204,14.278108211999918,14.328753766336915,9.954559527388714,10.00520508172571,0.993,0.984,0.99675,0.0019071922154226507,811.818659744,123.1802186359379,821.5652415519999,Tesla T4,24.9873046875,305c037417027bfc93199c0740a2964cd587473ddb0c5a32e9da9dc8ae91f6a6,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n16_seed1.zip,d80c54b46aa35550be555b9c04042466718f537a3de21785f1936c2268b1b8b7
ddpg,16,2,35000,True,4.3527859140616165,14.483223769300324,14.701090314715046,10.130437855238707,10.34830440065343,0.982,0.933,0.98975,0.004669868965049286,798.248351649,125.2742956417294,807.7875892279999,Tesla T4,24.9873046875,305c037417027bfc93199c0740a2964cd587473ddb0c5a32e9da9dc8ae91f6a6,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n16_seed2.zip,5695802cf9cf31d6713854673091751612372cbb6bb0e88108b864b65d571f2c
ddpg,16,3,15000,True,4.346968348359992,14.136058931726893,14.644084594632906,9.789090583366901,10.297116246272914,0.989,0.953,0.99425,0.002762250772451976,772.5077821670001,129.44853412283436,781.929575981,Tesla T4,24.9873046875,305c037417027bfc93199c0740a2964cd587473ddb0c5a32e9da9dc8ae91f6a6,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n16_seed3.zip,7c68746c83ee29e418ff943dc3b532770970601276d71ae860add255d2e6a49f
ddpg,16,4,60000,True,4.377788513297198,14.658817115427805,14.69930297426312,10.281028602130608,10.321514460965922,0.981,0.958,0.98825,0.005059594215994332,894.852079055,111.75031308593935,905.7211642699999,Tesla T4,24.9873046875,305c037417027bfc93199c0740a2964cd587473ddb0c5a32e9da9dc8ae91f6a6,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n16_seed4.zip,1fc7318740dd3fa40e9c6caf5475a2e08d7c18b407a4fb9062926dffe60fbd0b
ddpg,32,0,100000,True,4.37418018187892,16.87726442008406,16.87726442008406,12.50308423820514,12.50308423820514,0.996,0.996,0.997,0.0015721467671992275,796.397980362,125.56536112076193,805.6980984490001,Tesla T4,27.6279296875,215acf7c4a7ad4d08a0df58be6a68578a137f3574a8b4aeb507a0b1ff206d29b,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n32_seed0.zip,d372393edd145468410598a19988ed0a21fff76fd3dfa83e9a65320dc2500fa5
ddpg,32,1,95000,True,4.325868654654693,16.90678677426197,16.870048524382952,12.580918119607277,12.544179869728259,0.996,0.999,0.997,0.0008622592707609668,837.3187311720001,119.4288342982957,847.321055472,Tesla T4,27.6279296875,215acf7c4a7ad4d08a0df58be6a68578a137f3574a8b4aeb507a0b1ff206d29b,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n32_seed1.zip,80a85e76d349e3089ac811534a2349b42f9aec19745e315347663fe620c52a40
ddpg,32,2,85000,True,4.369176024349389,16.90546978774295,16.95567455554052,12.536293763393559,12.586498531191129,0.991,0.963,0.99325,0.0010141497935824784,879.6170630899999,113.68583466163194,891.3444581220001,Tesla T4,27.6279296875,215acf7c4a7ad4d08a0df58be6a68578a137f3574a8b4aeb507a0b1ff206d29b,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n32_seed2.zip,cd187ece92a9405fda24a7013323c764c2acadb842d3a4246a1c703c32b3ea5a
ddpg,32,3,100000,True,4.311309829914975,16.645461412094647,16.645461412094647,12.334151582179672,12.334151582179672,0.983,0.983,0.99475,0.005896481136375499,793.7483668919999,125.98451117645743,804.5298564700001,Tesla T4,27.6279296875,215acf7c4a7ad4d08a0df58be6a68578a137f3574a8b4aeb507a0b1ff206d29b,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n32_seed3.zip,5a793847a52772286fda440e47f4c4b22244fcb92de1df7875e691052eba15c9
ddpg,32,4,100000,True,4.37100914662254,16.92411504437731,16.92411504437731,12.553105897754769,12.553105897754769,0.999,0.999,0.99925,0.0007393390392542892,965.5304339810001,103.57001341499694,976.1457482410001,Tesla T4,27.6279296875,215acf7c4a7ad4d08a0df58be6a68578a137f3574a8b4aeb507a0b1ff206d29b,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n32_seed4.zip,012ffd5844522a9046dab9bd109acbad382f62c1951851028c08a5a750bdcf9e
ddpg,64,0,100000,True,4.334982288828871,19.04213601296748,19.04213601296748,14.707153724138607,14.707153724138607,0.997,0.997,0.99775,0.0005242545001488297,928.6270628579999,107.68585581840985,939.4703731069999,Tesla T4,32.91162109375,6c99c7fe7c077359f1b9706db2d8c1a011bb12c1845f7072b0803a7cde41b3d4,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n64_seed0.zip,938976530cadc7ea0ab5d7bb7e308b1503927c972e90a58e9b5e2aeecf709a27
ddpg,64,1,95000,True,4.364851754348589,18.90002461404523,18.862871009294157,14.53517285969664,14.498019254945568,0.999,1.0,0.99925,6.74606881981988e-05,854.425148334,117.03775362298839,864.564001637,Tesla T4,32.91162109375,6c99c7fe7c077359f1b9706db2d8c1a011bb12c1845f7072b0803a7cde41b3d4,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n64_seed1.zip,30f29254c545df14c6fb0dfb543e067803d4fe42ef1b36fe974c46687abb80c8
ddpg,64,2,80000,True,4.356343680897449,19.085760890427107,19.0532940269037,14.729417209529657,14.69695034600625,0.999,0.999,0.99925,0.0003688140253561581,889.6908581829999,112.39859225285089,900.5583197860001,Tesla T4,32.91162109375,6c99c7fe7c077359f1b9706db2d8c1a011bb12c1845f7072b0803a7cde41b3d4,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n64_seed2.zip,34042e45cb5b23562a557b7dc311be2df0aaf54d332564965889ec2fa261e03f
ddpg,64,3,90000,True,4.352324105995328,18.891549156956156,18.144668246564216,14.539225050960827,13.792344140568886,0.996,1.0,0.997,0.0031288946015941787,854.3205105060001,117.05208849635558,864.3186202300001,Tesla T4,32.91162109375,6c99c7fe7c077359f1b9706db2d8c1a011bb12c1845f7072b0803a7cde41b3d4,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,3e96df18eab0a8b3a6a3f1006d74c31e09add2a1,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ddpg_r2_n64_seed3.zip,c276867b8e591d3aa6ec03c234a49db43721b2132e4998fcca190c41777f734a
