method,n_ris,count,solve_ms_mean,solve_ms_std,solve_ms_median,solve_ms_p95,solve_ms_p99,solve_ms_min,solve_ms_max,inference_ms_mean,evaluation_ms_mean,checkpoint_step,checkpoint_sha256,cpu_model,runner_os,python_version,torch_version
analytical_ris,16,100,0.21221139000000006,0.03813427866037816,0.2030865,0.3101146,0.36143464000000014,0.159566,0.392188,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_grid,16,100,188.37001494,2.666696993632642,188.5625685,192.89980094999999,194.24013365,183.183342,195.845384,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_sca,16,100,755.33903278,243.07425687657954,830.4545270000001,966.7841330499999,1037.8492726900006,76.448423,1128.691246,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ddpg,16,100,0.34654896999999996,0.02963663887602266,0.3435309999999999,0.38914295,0.4330533700000001,0.225025,0.459028,0.15989876,0.18665020999999998,95000,007c75d6f4a05f596ec91239bd1bd03d60f2d90f34afda06f96607407f61dfa6,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ppo,16,100,0.56350226,0.0336309688611223,0.5645065,0.61526905,0.63862764,0.405823,0.6430469999999999,0.35697866999999994,0.20652358999999998,100000,2da0edf7289a4ae401f6fe1e6794bae418c1c14608cdab9ba38b5da8d0053641,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
td3,16,100,0.3415812599999999,0.02585788266528636,0.3388585,0.3807063,0.39698185,0.192909,0.410035,0.15824947,0.18333178999999997,45000,9137a3e959b90033c1a3424a5c6086feb44eb2996df98a5d74ca7c3889481931,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
analytical_ris,32,100,0.21200714999999998,0.019628142621635206,0.20942899999999998,0.25201395,0.26638169,0.145609,0.273479,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_grid,32,100,320.08770998,4.053894891435516,320.027747,326.53092534999996,327.32065042,307.380684,327.612841,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ao_sca,32,100,1074.5397453400003,300.9408188851714,1064.72009,1445.6566413999997,2032.4303150800006,99.507115,2110.466776,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ddpg,32,100,0.37186608000000004,0.04655440729728622,0.36517900000000003,0.43889189999999995,0.5676165500000001,0.201897,0.5952919999999999,0.17461560999999995,0.19725046999999993,100000,a6dc4c12a6bf1a94b94b7c05d4b7bde6b86d6f99933571ac88d6f444776c5dfb,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
ppo,32,100,0.5920174,0.03653016571370444,0.5847405,0.65072255,0.6779011100000003,0.442481,0.718502,0.38046581999999995,0.21155158,96256,1c75cd539888953d1c25b6b8f130d0759013d6958ed19376dbe194d86eab9a61,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
td3,32,100,0.37553416000000006,0.050223212940381956,0.3659765,0.4368806999999999,0.5801406800000002,0.209652,0.6009979999999999,0.17817742,0.19735674,100000,838346a07fdd603ecaf41391f96867958a7b02cc5ca76ccc6bb4c0700a0438e7,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
analytical_ris,64,100,0.22340167,0.021120691495153145,0.2208715,0.24953725,0.3014475500000001,0.151584,0.323876,,,-1,not_applicable,INTEL(R) XEON(R) PLATINUM 8573C,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,3.11.16,2.13.0+cu130
