n_ris,learned_method,baseline_method,td3_median_ms,baseline_median_ms,baseline_over_td3_speedup
16,td3,ao_sca,0.3388585,830.4545270000001,2450.7413182788687
16,td3,ao_grid,0.3388585,188.5625685,556.4640358733808
16,td3,analytical_ris,0.3388585,0.2030865,0.5993253821285286
32,td3,ao_sca,0.3659765,1064.72009,2909.2580807784107
32,td3,ao_grid,0.3659765,320.027747,874.4488976751239
32,td3,analytical_ris,0.3659765,0.20942899999999998,0.5722471251569431
64,td3,ao_sca,0.3933595,1861.6428645,4732.675490232218
64,td3,ao_grid,0.3933595,579.2715499999999,1472.6263125715789
64,td3,analytical_ris,0.3933595,0.2208715,0.5615003578151793
96,td3,ao_sca,0.434294,2543.524655,5856.688452983463
96,td3,ao_grid,0.434294,881.0457570000001,2028.685077389971
96,td3,analytical_ris,0.434294,0.2229855,0.5134436579828411
128,td3,ao_sca,0.45185999999999993,3606.379085,7981.186838843891
128,td3,ao_grid,0.45185999999999993,1204.731037,2666.1599544106584
128,td3,analytical_ris,0.45185999999999993,0.2348835,0.5198147656353739
