n_ris,method_a,method_b,paired_scenarios,mean_difference_a_minus_b,win_fraction_a_gt_b,cohen_dz,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,holm_family,holm_family_size,seed_level_unit,seed_level_n,seed_mean_difference_a_minus_b,seed_t_statistic,seed_t_p,scenario_t_holm_p,wilcoxon_holm_p,scenario_t_holm_significant_0_05,wilcoxon_holm_significant_0_05,paired_t_holm_p,paired_t_holm_significant_0_05,seed_holm_family_size,seed_t_holm_p,seed_t_holm_significant_0_05,significant_under_both_units
16,td3,ddpg,1000,0.06022384309622885,0.553,0.1151207331314961,3.6404372260393596,0.00028613140735446924,217256.0,0.0003043101478413265,all_15_pairs_within_N16,15,paired over 5 training seeds,5,0.06022384309622986,0.4111744411801291,0.7020197313731431,0.0008583942220634078,0.0003043101478413265,True,True,0.0008583942220634078,True,12,0.7020197313731431,False,False
16,td3,ppo,1000,4.588168943730187,1.0,4.408441131551824,139.40714906473747,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N16,15,paired over 5 training seeds,5,4.5881689437301905,2.893139326244057,0.04442266256234499,0.0,4.9887886784017696e-164,True,True,0.0,True,12,0.2665359753740699,False,False
16,td3,ao_sca,1000,0.20651563921571972,0.131,0.042837122744374144,1.3546287628042513,0.1758421397181616,121620.0,5.0302308446888666e-45,all_15_pairs_within_N16,15,5 training seeds against a deterministic baseline,5,0.20651563921571992,2.6964573331878015,0.05429326468889213,0.3516842794363232,1.50906925340666e-44,False,True,0.3516842794363232,False,12,0.27087053832057073,False,False
16,td3,ao_grid,1000,-2.028772694058264,0.0,-4.458336908615823,-140.9849920761997,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N16,15,5 training seeds against a deterministic baseline,5,-2.0287726940582615,-26.489514445684602,1.207091905684703e-05,0.0,4.9887886784017696e-164,True,True,0.0,True,12,0.0001207091905684703,True,True
16,td3,analytical_ris,1000,12.570294570381728,1.0,21.633892646960234,684.1237541996333,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N16,15,5 training seeds against a deterministic baseline,5,12.57029457038173,164.12927903843078,8.26607863684814e-09,0.0,4.9887886784017696e-164,True,True,0.0,True,12,9.919294364217767e-08,True,True
32,td3,ddpg,1000,-0.5254499470572572,0.041,-1.4693421825203274,-46.4646795892708,6.506361610239193e-252,12551.0,3.0105167371208844e-149,all_15_pairs_within_N32,15,paired over 5 training seeds,5,-0.525449947057254,-3.5043854781633343,0.02479751964654616,3.903816966143516e-251,1.5052583685604422e-148,True,True,3.903816966143516e-251,True,12,0.12398759823273081,False,False
32,td3,ppo,1000,0.8600435192678995,0.851,1.0860726830379481,34.34463382890036,2.5281379334342342e-171,29813.0,1.2237857884232067e-128,all_15_pairs_within_N32,15,paired over 5 training seeds,5,0.8600435192679008,0.8004496410434554,0.4682944882402781,1.264068966717117e-170,1.2237857884232067e-128,True,True,1.264068966717117e-170,True,12,0.4682944882402781,False,False
32,td3,ao_sca,1000,-1.3992117627290854,0.026,-0.5438171776440979,-17.197009120797496,2.9477123513831918e-58,25675.0,1.942809092392402e-133,all_15_pairs_within_N32,15,5 training seeds against a deterministic baseline,5,-1.399211762729088,-10.675871206312316,0.00043606627749387633,8.843137054149575e-58,7.771236369569607e-133,True,True,8.843137054149575e-58,True,12,0.002616397664963258,True,True
32,td3,ao_grid,1000,-2.1780407959283328,0.0,-6.0470694562268585,-191.22512650912745,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N32,15,5 training seeds against a deterministic baseline,5,-2.1780407959283323,-16.618272972542854,7.680613542170857e-05,0.0,4.9887886784017696e-164,True,True,0.0,True,12,0.0006684102904695151,True,True
32,td3,analytical_ris,1000,14.34439269096449,1.0,33.05703483670143,1045.355227755088,0.0,0.0,3.325859118934513e-165,all_15_pairs_within_N32,15,5 training seeds against a deterministic baseline,5,14.344392690964494,109.44654196075048,4.179279388227826e-08,0.0,4.9887886784017696e-164,True,True,0.0,True,12,4.5972073270506085e-07,True,True
