method,n_ris,seeds,training_seconds_mean,training_seconds_std,training_minutes_mean,interactions_per_second_mean,total_wall_seconds_mean,peak_gpu_memory_mb_mean,device_name
ddpg,16,5,822.1072120224001,46.2278652768486,13.701786867040001,121.93712943418302,831.9506655406,24.9873046875,Tesla T4
ddpg,32,5,854.5225150993999,71.27486093194315,14.242041918323332,117.6469109344288,865.0078433508,27.6279296875,Tesla T4
ddpg,64,5,867.830111459,43.714016328272685,14.463835190983334,115.46276189108968,878.1045312948002,32.91162109375,Tesla T4
ddpg,96,5,905.0862826302,62.50717880738516,15.08477137717,110.87953895930916,915.9665995046,38.2275390625,Tesla T4
ddpg,128,5,914.6443869026,41.51235881072216,15.244073115043333,109.50674973572765,925.5056143258,44.11083984375,Tesla T4
ppo,16,5,239.4611965942,15.028886041260337,3.9910199432366666,418.8390936714359,252.5611329838,26.02734375,Tesla T4
ppo,32,5,243.20337230639998,21.872450201959392,4.053389538439999,413.7872183560585,257.2980566814,30.01171875,Tesla T4
ppo,64,5,231.4944721162,7.254110364818934,3.8582412019366665,432.30288091075954,245.00282517959994,38.12841796875,Tesla T4
ppo,96,5,240.559815024,8.384778986151405,4.0093302504,416.1074729111584,254.6466978128,46.2890625,Tesla T4
ppo,128,5,245.45474361760003,13.421340799613093,4.090912393626668,408.36569103203414,260.05242865459996,55.78173828125,Tesla T4
td3,16,5,742.8393588708,25.194874267764533,12.38065598118,134.74102069446624,752.0101353332001,27.67236328125,Tesla T4
td3,32,5,833.257570513,52.539292579018145,13.887626175216667,120.40108742482343,843.5403866986001,31.57861328125,Tesla T4
td3,64,5,862.0559424843999,82.7803219052959,14.367599041406665,116.78913423709608,872.9089776896001,39.3935546875,Tesla T4
td3,96,5,871.1541933522,42.017675870252354,14.51923655587,115.00374422736805,882.2029212781999,47.93017578125,Tesla T4
td3,128,5,908.9284595646001,69.09601670281688,15.148807659410002,110.48995531109833,920.7920779419999,56.009765625,Tesla T4
