method,n_ris,seed,step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss
ddpg,96,0,1,-0.9718869714098,-0.9718869714098,2.035779063353856,0.25,False,0.3058034836238187,8.0,0.3058034836238187,False,0.0,,
ddpg,96,0,1000,-9.964574602567309,-9.964574602567309,2.035425397432693,0.5,False,1.0,8.0,0.7462672441209242,False,0.0,0.9375635981559752,-64.71810150146484
ddpg,96,0,2000,-7.120270784866959,-7.120270784866959,2.484520590416429,0.5,False,0.8439660396341926,8.0,0.691685071542048,False,0.0,74710.328125,-9693.017578125
ddpg,96,0,3000,-8.636864622894677,-8.636864622894677,2.568713964594523,0.5,False,0.9494360461898048,27.62692457713104,0.982346228856552,True,0.1173,95756.703125,-4154.0185546875
ddpg,96,0,4000,-28.480084939043927,-9.178318353597064,2.5588063866997857,0.5,False,0.9834330645941828,47.228279741444055,0.9810677582156512,True,0.1163999999999999,69296.765625,-3262.8408203125
ddpg,96,0,5000,-39.393978371053976,-1.4924351055293608,9.975581025282116,0.5,False,0.9661790808910296,64.0,0.9752165872390692,True,0.1154999999999999,54530.6640625,-2887.042236328125
ddpg,96,0,6000,-21.695467330604377,6.333649771085115,12.337810438425464,0.25,False,0.5005199482444552,64.0,0.530938389006662,True,0.1146,73942.390625,-4236.3056640625
ddpg,96,0,7000,-18.3687787627086,9.631221237291395,15.631221237291395,0.75,False,0.5,64.0,0.5356049288989441,True,0.1137,81606.4140625,-4219.8876953125
ddpg,96,0,8000,-26.381072293363623,1.6189277066363754,7.618927706636375,0.75,False,0.5,64.0,0.7053410086800822,True,0.1128,114189.3359375,-4169.423828125
ddpg,96,0,9000,-61.16976022924354,-5.169760229243542,6.830239770756458,0.5,False,1.0,64.0,0.7000854821100939,True,0.1119,38264.9765625,-3584.064453125
ddpg,96,0,10000,-60.72702121384415,-4.727021213844145,7.272978786155855,0.5,False,1.0,64.0,0.5523326230400233,True,0.111,29697.373046875,-3048.0703125
ddpg,96,0,11000,-2.0024202628822407,4.747826684058818,5.828387048531742,0.75,False,0.1205401240525189,64.0,0.5694494294226998,True,0.1101,24985.2109375,-2720.627197265625
ddpg,96,0,12000,-25.09170979860417,2.9082902013958254,8.908290201395825,0.75,False,0.5,64.0,0.6204489721287053,True,0.1091999999999999,42463.7265625,-2772.46240234375
ddpg,96,0,13000,-83.62309553986029,-2.962052929988972,14.09343937729832,0.25,False,1.4403757608905592,64.0,1.4537514155246738,True,0.1083,71732.765625,-3435.935791015625
ddpg,96,0,14000,-84.65195494084782,-2.709589511410773,14.713315560331385,0.25,False,1.4632565255256615,64.0,1.2985754877192952,True,0.1074,130967.71875,-4770.732421875
ddpg,96,0,15000,-62.5263177685158,-8.783826274439111,2.5841721745172785,0.5,False,0.9596873481085122,64.0,1.2962197909923234,True,0.1065,103872.1953125,-4336.10205078125
ddpg,96,0,16000,-88.87111557348297,-4.871115573482971,13.128884426517027,0.25,False,1.5,64.0,1.2206398763493782,True,0.1056,58541.421875,-3876.861328125
ddpg,96,0,17000,-64.98450700092236,-9.349504949428828,2.5463798503632216,0.5,False,0.993482179490956,64.0,1.2311499041929057,True,0.1046999999999999,57623.5078125,-3895.086669921875
ddpg,96,0,18000,-88.12966842000644,-4.92344511209501,12.851143110695388,0.25,False,1.485825416212704,64.0,1.2516687324869475,True,0.1038,70597.359375,-3792.180419921875
ddpg,96,0,19000,-87.97084766296503,-4.733540775058878,13.0500308377695,0.25,False,1.4863804801411813,64.0,1.2363218771037026,True,0.1028999999999999,38882.09375,-3439.14697265625
ddpg,96,0,20000,-91.27936197746664,-8.011276413788043,9.78097175425813,0.25,False,1.4869300993514036,64.0,1.2013049282719368,True,0.102,69328.34375,-3112.751953125
ddpg,96,0,21000,-82.27060098850208,-0.9621804521677806,16.28727796640025,0.25,False,1.4519360810059696,64.0,1.2178339883607006,True,0.1011,43076.86328125,-3033.454345703125
ddpg,96,0,22000,-63.44285069243315,-8.721847529282549,2.9149078903566354,0.5,False,0.9771607707705464,64.0,1.2189626290303424,True,0.1002,45886.2421875,-2582.515625
ddpg,96,0,23000,-86.47731177512632,-3.670765012725554,13.99108660916452,0.25,False,1.478688335042871,64.0,1.161809025380569,True,0.0993,28913.59375,-2359.525390625
ddpg,96,0,24000,-86.33228315300678,-3.518016455588616,14.146789242308545,0.25,False,1.4788261910253244,64.0,1.194417834200279,True,0.0984,33197.71875,-2374.076416015625
