method,n_ris,seed,step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,policy_loss,value_loss
ppo,96,0,2048,-4.487981535240111,-4.487981535240111,2.375635893461903,0.4617919921875,0.0029296875,0.62504670523566,8.0,0.6137541449971282,-0.1677279770374298,2188.19384765625
ppo,96,0,4096,-8.968233520402642,-4.462883756331392,2.388419305170462,0.4732666015625,0.001953125,0.6224763457675966,32.228079796805986,0.5708093774651899,-0.1689950823783874,10780.8544921875
ppo,96,0,6144,-23.937491080093867,-4.423020157534893,2.390948788584254,0.466796875,0.00439453125,0.6202018807571883,57.32458677710508,0.6180696722364756,-0.1562142670154571,65221.42578125
ppo,96,0,8192,-37.55698497933323,-4.446541877200171,2.404049027627873,0.466552734375,0.0029296875,0.6226878401817701,64.0,0.604511921889419,-0.1591286063194275,152737.09375
ppo,96,0,10240,-39.219399496201206,-4.389205392444003,2.4342752763010465,0.46435546875,0.00537109375,0.6219677518528071,64.0,0.6235547966825282,-0.1520042419433593,167159.609375
ppo,96,0,12288,-39.17267771966566,-4.4314681358540575,2.396138104884359,0.47216796875,0.0029296875,0.6203787425680642,64.0,0.6207445247053521,-0.1499311476945877,164991.4375
ppo,96,0,14336,-38.95514840038543,-4.355832614416245,2.41702496066981,0.464599609375,0.00048828125,0.6178449247494497,64.0,0.5426961959368839,-0.1426325738430023,160313.609375
ppo,96,0,16384,-39.51971155769227,-4.444186068013618,2.42237836157808,0.4600830078125,0.001953125,0.6263486694585472,64.0,0.6419319336642416,-0.1382312774658203,164844.25
ppo,96,0,18432,-39.4559780375991,-4.4274592458128605,2.4466187722030286,0.4674072265625,0.00341796875,0.6255092641390401,64.0,0.6686071603718532,-0.1313182711601257,163007.71875
ppo,96,0,20480,-39.15380553546941,-4.346402477748526,2.479170491464429,0.4664306640625,0.00244140625,0.6215607688878729,64.0,0.615153569340872,-0.1269447207450866,158463.125
ppo,96,0,22528,-38.931017999812745,-4.350752774027577,2.440717395114236,0.4725341796875,0.0048828125,0.6175047361747352,64.0,0.6124580220717977,-0.1248983293771743,155513.859375
ppo,96,0,24576,-39.16382364954893,-4.385902223758997,2.4461863043237755,0.471435546875,0.00390625,0.6210343111748203,64.0,0.6081783810422727,-0.1161678656935691,154548.625
ppo,96,0,26624,-38.26825229817078,-4.17579426886025,2.483886384449174,0.466064453125,0.00244140625,0.6087938933805452,64.0,0.6110406292977939,-0.1122933775186538,145880.03125
ppo,96,0,28672,-38.959036584175415,-4.2983183275995405,2.499293371149947,0.4644775390625,0.00634765625,0.6189413974388549,64.0,0.5912242233292379,-0.1084989607334137,147286.9375
ppo,96,0,30720,-39.106521365882216,-4.306791962556545,2.512060271174996,0.46435546875,0.0029296875,0.6214237393451011,64.0,0.6176132372190969,-0.1043646037578582,145477.984375
ppo,96,0,32768,-38.91619502110828,-4.300469533867508,2.487473324482152,0.4698486328125,0.00244140625,0.6181379551292996,64.0,0.593647635779013,-0.0993618890643119,141285.46875
ppo,96,0,34816,-38.28851008751863,-4.21979751169207,2.4425151503169085,0.4671630859375,0.005859375,0.6083698674254743,64.0,0.6426151259807299,-0.0968335419893264,133438.375
ppo,96,0,36864,-38.358265759940416,-4.229826177761845,2.451987049230676,0.470458984375,0.00390625,0.6094364211103316,64.0,0.6090247993364596,-0.0952765792608261,130874.5859375
ppo,96,0,38912,-39.53608431806792,-4.423311296730614,2.462224309919294,0.46630859375,0.00244140625,0.6270138039524518,64.0,0.6111292818549372,-0.0885127633810043,138089.359375
ppo,96,0,40960,-38.95418445494334,-4.32044538992561,2.4812299456749223,0.47216796875,0.00390625,0.6184596261610308,64.0,0.6369941760969785,-0.0909831225872039,129137.6875
ppo,96,0,43008,-38.802436416187646,-4.307671677005168,2.4499986379710283,0.468994140625,0.00146484375,0.6159779417711156,64.0,0.5835231161183572,-0.0866702646017074,125167.625
ppo,96,0,45056,-38.63821007717797,-4.272392663963256,2.4671196485867557,0.4725341796875,0.00390625,0.6136753109502628,64.0,0.560072677327461,-0.0872730985283851,118054.7890625
ppo,96,0,47104,-38.58372378444966,-4.253383637212567,2.465896513920025,0.47021484375,0.00244140625,0.6130417883435195,64.0,0.6266406894955044,-0.085379421710968,115370.9375
ppo,96,0,49152,-38.86001358037146,-4.323821727179831,2.446511704355001,0.4725341796875,0.00390625,0.616717711664136,64.0,0.642371232955172,-0.0829642415046691,111986.203125
ppo,96,0,51200,-38.46252641848318,-4.29039239776779,2.394873543352497,0.472412109375,0.0048828125,0.6102166789413462,64.0,0.5920884660106787,-0.0817454606294632,108287.1875
ppo,96,0,53248,-38.76564660788635,-4.256586720176989,2.498385312415426,0.462646484375,0.0029296875,0.6162332122805244,64.0,0.6341647383228884,-0.0856645032763481,105293.8046875
ppo,96,0,55296,-38.81543406170694,-4.275903895944753,2.488505253783514,0.465087890625,0.00537109375,0.6167773243886104,64.0,0.6100396737700657,-0.0845595449209213,103669.65625
ppo,96,0,57344,-38.24063282881031,-4.195133814283938,2.468288330131468,0.4698486328125,0.00390625,0.6079553395451138,64.0,0.5328394712483049,-0.0873396471142768,98122.890625
ppo,96,0,59392,-39.08137381987771,-4.369429019436944,2.4427954369007154,0.4671630859375,0.00439453125,0.6198561571507281,64.0,0.5892463478919102,-0.0861280858516693,97873.46875
