method,n_ris,seed,step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,policy_loss,value_loss
ppo,16,0,2048,-4.644397591489021,-4.644397591489021,2.3274464025133947,0.4583740234375,0.0029296875,0.6340527589482383,8.0,0.6163180787297143,-0.1627191305160522,2347.524169921875
ppo,16,0,4096,-9.306846368281334,-4.647549075144083,2.338803188468032,0.4638671875,0.001953125,0.6340219799110194,32.51525439987056,0.5813837166161645,-0.1273930668830871,11583.8623046875
ppo,16,0,6144,-24.78344278059208,-4.607955254630957,2.327709605547083,0.4617919921875,0.0029296875,0.6307786258215899,58.44551401201762,0.6396798556665517,-0.0602209717035293,69783.953125
ppo,16,0,8192,-38.61937234131,-4.643944599081824,2.334582423154143,0.4622802734375,0.00244140625,0.6332177637547669,64.0,0.6087810141243571,-0.0422979891300201,161314.84375
ppo,16,0,10240,-39.955656710350496,-4.574738749465963,2.367538325906195,0.4566650390625,0.00390625,0.6318021064443664,64.0,0.6211386537531626,-0.0342349708080291,173915.734375
ppo,16,0,12288,-39.64530360579671,-4.571865295935249,2.330245888560051,0.471435546875,0.0029296875,0.6263113983903832,64.0,0.6418903405249218,-0.0295198857784271,169468.6875
ppo,16,0,14336,-39.41785134445962,-4.490732204373435,2.352672102259977,0.4617919921875,0.00244140625,0.6236985560729678,64.0,0.5420959507712247,-0.0275349169969558,165006.59375
ppo,16,0,16384,-39.886960817116176,-4.574198684215716,2.345741539359212,0.45556640625,0.00341796875,0.630585038087508,64.0,0.6662163657200726,-0.024744726717472,169291.25
ppo,16,0,18432,-39.81892607887541,-4.544288330639311,2.3833859578191885,0.4654541015625,0.0029296875,0.6299042455042159,64.0,0.6708473849078616,-0.019378587603569,167451.8125
ppo,16,0,20480,-39.64054898725969,-4.468108364067635,2.427982839925377,0.4610595703125,0.00244140625,0.6280792968427151,64.0,0.6162360135040963,-0.0180173888802528,164400.78125
ppo,16,0,22528,-39.2524626207302,-4.446018620191063,2.387222182625502,0.4656982421875,0.00244140625,0.6215436428667702,64.0,0.6275248770983596,-0.0166718214750289,160174.875
ppo,16,0,24576,-39.56234835161035,-4.484134068277053,2.4080169643959213,0.4677734375,0.0048828125,0.6263966836309518,64.0,0.6135461048012645,-0.0161298513412475,160825.5
ppo,16,0,26624,-38.77665402874868,-4.313669320190229,2.4263615005647066,0.4619140625,0.00146484375,0.615410441224258,64.0,0.6192132005096789,-0.0153200849890708,153113.109375
ppo,16,0,28672,-39.33640257570989,-4.411214948684095,2.4407494865937327,0.464599609375,0.005859375,0.6236640647683178,64.0,0.5920229906303116,-0.0128802210092544,154217.46875
ppo,16,0,30720,-39.25709307265456,-4.3847783082943135,2.4521953098360494,0.4649658203125,0.001953125,0.6227199065064329,64.0,0.6183598734399303,-0.0137323215603828,151467.9375
ppo,16,0,32768,-39.270457274979776,-4.412303629310762,2.42741369575857,0.467041015625,0.0029296875,0.6224670293869468,64.0,0.6059094085852941,-0.0109932795166969,149862.6875
ppo,16,0,34816,-38.633181540591096,-4.310765034198873,2.4047031779227432,0.469482421875,0.0078125,0.6129002947570039,64.0,0.6412146833407006,-0.0115428790450096,142964.03125
ppo,16,0,36864,-38.78757902462296,-4.352416209916905,2.39447908822605,0.4688720703125,0.00341796875,0.6149136216911795,64.0,0.6249302422218179,-0.0100945755839347,140306.171875
