method,n_ris,seed,step,reward,environment_reward,sum_rate,qos_fraction,all_qos,violation,qos_dual,qos_violation_ema,qos_dual_updated,exploration_noise,critic_loss,actor_loss,effective_target_noise
td3,16,0,1,-0.9969849237373928,-0.9969849237373928,2.0331190272328348,0.25,False,0.3081819659139079,8.0,0.3081819659139079,False,0.0,,,
td3,16,0,1000,-6.220787743587422,-6.220787743587422,1.8085104225900983,0.5,False,0.7096916730328673,8.0,0.733046398746803,False,0.0,0.1328532844781875,0.0,0.15
td3,16,0,2000,-5.000581539482994,-5.000581539482994,1.7982874939045246,0.25,False,0.592472066812664,8.0,0.6869514608109436,False,0.0,0.151556059718132,0.0,0.15
td3,16,0,3000,5.717288745720815,5.717288745720815,7.759857974202172,0.75,False,0.2108594471202937,11.034644649164882,0.1527322324582441,True,0.1173,0.7314835786819458,0.0,0.15
td3,16,0,4000,0.9245055590592006,2.4418278836416416,8.441827883641642,0.75,False,0.5,13.048668274881454,0.1017011812858286,True,0.1163999999999999,0.9671079516410828,0.0,0.15
td3,16,0,5000,8.239411639414522,8.239411639414522,8.239411639414522,1.0,True,0.0,16.128060148607712,0.1549695936863129,True,0.1154999999999999,1.594529390335083,0.0,0.15
td3,16,0,6000,-6.9059471687612,-1.5910447306466078,5.829590490697605,0.5,False,0.6538955594496927,21.3876351855045,0.2639787518448394,True,0.1146,2.547708749771118,0.0,0.15
td3,16,0,7000,11.895554084275002,11.895554084275002,11.895554084275002,1.0,True,0.0,24.16944075008966,0.140090278229258,True,0.1137,3.891813039779663,0.0,0.15
td3,16,0,8000,13.590440257885628,13.590440257885628,13.590440257885628,1.0,True,0.0,27.997008882738797,0.1923784066324566,True,0.1128,3.979851007461548,0.0,0.15
td3,16,0,9000,6.769560814009366,6.769560814009366,6.769560814009366,1.0,True,0.0,29.94283637931245,0.0982913748286826,True,0.1119,5.085209846496582,0.0,0.15
td3,16,0,10000,4.418935960037029,8.687693921657011,10.478788462006165,0.5,False,0.1945399349395202,34.6800117061837,0.2378587663435625,True,0.111,5.352615833282471,0.0,0.15
td3,16,0,11000,6.159283645249748,6.159283645249748,6.159283645249748,1.0,True,0.0,37.2325681568679,0.1286278225342099,True,0.1101,7.858690738677978,0.0,0.15
td3,16,0,12000,-7.887699218724613,6.728584859709336,12.728584859709336,0.75,False,0.5,40.27701668644784,0.1532224264789968,True,0.1091999999999999,6.957245349884033,0.0,0.15
td3,16,0,13000,10.862560885503973,10.862560885503973,10.862560885503973,1.0,True,0.0,41.73238149549711,0.0737682404524634,True,0.1083,9.576247215270996,0.0,0.15
td3,16,0,14000,9.31608774634326,9.31608774634326,9.31608774634326,1.0,True,0.0,43.13984204643793,0.0713730275470409,True,0.1074,10.765331268310549,0.0,0.15
