method,n_ris,count,solve_ms_mean,solve_ms_std,solve_ms_median,min,max
analytical_ris,16,100,0.12298637,0.006263753130987816,0.121565,0.114869,0.144112
analytical_ris,32,100,0.12909004,0.007530721978239235,0.1269225,0.1085,0.160546
analytical_ris,64,100,0.14170797999999998,0.010835196619230015,0.13873950000000002,0.113127,0.178533
analytical_ris,96,100,0.16121064000000002,0.018559390530919703,0.15687099999999998,0.117683,0.263719
analytical_ris,128,100,0.15877467,0.019394588647589094,0.1541925,0.119066,0.256398
ao_grid,16,100,177.7424638,2.775612899711231,177.2473555,175.727025,196.436403
ao_grid,32,100,295.28485753,2.8858091534771932,294.722164,293.06728,311.009754
ao_grid,64,100,562.9368782,5.439360062440207,562.123344,555.492529,585.943856
ao_grid,96,100,829.96768562,5.440999951940275,828.6304614999999,824.167902,858.909132
ao_grid,128,100,1102.17701536,6.997336587178866,1101.365866,1088.568003,1129.101048
ao_sca,16,100,705.19519378,226.70183045556524,770.5149195,71.786622,1053.497971
ao_sca,32,100,1037.95187115,292.0591844903142,1021.126672,95.900863,2006.948317
ao_sca,64,100,1916.5574236900002,656.3263975484414,1768.8001765,943.384012,4191.958088
ao_sca,96,100,2768.05135479,1076.3321912230217,2451.265496,1175.032256,6616.065563
ao_sca,128,100,3724.2132655699997,1463.5907467940544,3457.54105,1279.383105,8353.429669
ddpg,16,100,0.21997031999999997,0.010054117543242326,0.2164635,0.208897,0.269497
ddpg,32,100,0.2318133,0.015009086903834913,0.22728949999999998,0.214856,0.303929
ddpg,64,100,0.28160524,0.07173145115463578,0.2608195,0.207547,0.6131139999999999
ddpg,96,100,0.40045311,0.040186955614144565,0.3988634999999999,0.21773,0.497624
ddpg,128,100,0.52864801,0.04443176543608832,0.5337970000000001,0.2347759999999999,0.622968
ppo,16,100,0.38646192,0.034614705745274206,0.38309999999999994,0.365649,0.7119989999999999
ppo,32,100,0.40423772,0.035285444759566284,0.398904,0.358879,0.726151
ppo,64,100,0.48682448,0.05613930394855178,0.47435949999999993,0.379549,0.927077
ppo,96,100,0.64989401,0.11397195417059652,0.6628130000000001,0.422312,1.006805
ppo,128,100,0.79748914,0.07567063246662735,0.7864395,0.444496,1.201251
td3,16,100,0.24391441999999997,0.00986444589993414,0.241761,0.2316119999999999,0.283277
td3,32,100,0.25809364,0.010851317267260588,0.25472549999999994,0.24386,0.291449
td3,64,100,0.29040880999999996,0.023714073479770177,0.2879195,0.2556159999999999,0.47448
td3,96,100,0.4963056,0.041304545924880996,0.49376299999999995,0.248576,0.62357
td3,128,100,0.54457609,0.051626176577996966,0.5388394999999999,0.268676,0.867999
