method,n_ris,seeds,test_scenarios,uncertainty_unit,sum_rate_mean,sum_rate_std,sum_rate_ci95_low,sum_rate_ci95_high,qos_fraction_mean,qos_fraction_std,qos_fraction_ci95_low,qos_fraction_ci95_high,all_qos_mean,all_qos_std,all_qos_ci95_low,all_qos_ci95_high,violation_mean,violation_std,violation_ci95_low,violation_ci95_high
analytical_ris,16,1,1000,scenario,1.981170345194901,0.0051181070713781415,1.9808527426695064,1.9814879477202956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018829654805098676,0.005118107071378151,0.018512052279704025,0.019147257330493328
ao_grid,16,1,1000,scenario,16.580237609634896,0.5042238964695726,16.54894815424647,16.61152706502332,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,16,1,1000,scenario,14.344949276360909,4.807928838269609,14.04659476371469,14.643303789007128,0.9635,0.16414839230006092,0.9533138231172383,0.9736861768827617,0.944,0.2300367729666649,0.9297251403675352,0.9582748596324647,2.5313951612996952e-06,1.3777589939349677e-05,1.6764311487138625e-06,3.386359173885528e-06
ddpg,16,8,1000,seed_mean,8.095607781710143,2.5739789723429842,5.943707508996464,10.247508054423822,0.90890625,0.13773732360003224,0.7937549657810913,1.0,0.79525,0.3385615580236902,0.5122054542326436,1.0,0.04356506398862138,0.04443240541290964,0.0064186434650957,0.08071148451214706
ppo,16,8,1000,seed_mean,2.121617768525405,0.07015730254301573,2.062964795794339,2.1802707412564715,0.6241875,0.060829056438044954,0.5733331361748,0.6750418638252,0.0515,0.059833101206606364,0.0014782755852891655,0.10152172441471083,0.07946911805711704,0.016394589621220392,0.06576289813224347,0.09317533798199061
td3,16,8,1000,seed_mean,10.766148397780512,0.9435312381728265,9.977336542456843,11.55496025310418,0.98925,0.006991065727054789,0.9834053227876938,0.9950946772123062,0.97975,0.013708704221354102,0.9682892364625144,0.9912107635374856,0.00822519828167809,0.004527509925514105,0.004440105261062123,0.012010291302294057
analytical_ris,32,1,1000,scenario,1.9819768496904375,0.00021121520087390318,1.9819637427975445,1.9819899565833305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018023150309562395,0.00021121520087390687,0.018010043416669428,0.01803625720245536
ao_grid,32,1,1000,scenario,18.504410336583263,0.375329153738961,18.481119403935846,18.52770126923068,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,32,1,1000,scenario,17.72558130338402,2.608200092708144,17.563730266540507,17.88743234022753,0.998,0.04469897088298564,0.9952262194133513,1.0,0.998,0.04469897088298564,0.9952262194133513,1.0,1.6007364363429534e-07,3.5794386899796292e-06,0.0,3.821945863145222e-07
ddpg,32,8,1000,seed_mean,10.229521792569084,0.07215044544086538,10.169202510675618,10.28984107446255,0.99846875,0.001780035613608396,0.9969806029857774,0.9999568970142226,0.996375,0.0063681686086795395,0.9910510778106784,1.0,0.002041059662630541,0.003073952510979497,0.0,0.004610948273905585
ppo,32,8,1000,seed_mean,2.143798663409245,0.06228180628703776,2.091729770316393,2.1958675565020975,0.64678125,0.06277275306042994,0.5943019151331851,0.6992605848668149,0.06912499999999999,0.08070658939286539,0.0016526027541860083,0.136597397245814,0.0753201981829971,0.021238984711611716,0.05756396260991612,0.09307643375607808
td3,32,8,1000,seed_mean,10.715992605820924,0.7625616253167972,10.078475133024124,11.353510078617724,0.9961875,0.0029542644721535327,0.9937176730932523,0.9986573269067477,0.994375,0.0037392703642746775,0.9912488917438365,0.9975011082561636,0.002493966801056401,0.0009228664570023697,0.0017224311351321337,0.0032655024669806685
analytical_ris,64,1,1000,scenario,1.9820590914625897,5.704506481401008e-06,1.9820587374712333,1.9820594454539462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01794090853741025,5.704506481386977e-06,0.017940554546053807,0.017941262528766693
ao_grid,64,1,1000,scenario,20.440069892488452,0.26242557915946935,20.423785155669385,20.45635462930752,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,64,1,1000,scenario,19.904968512620894,0.4225702408342968,19.878746049164405,19.93119097607738,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ddpg,64,8,1000,seed_mean,9.288710290969188,4.128468274687032,5.837224439046312,12.740196142892064,0.8674999999999999,0.1486007955179629,0.7432666259761643,0.9917333740238355,0.623375,0.4398317657273712,0.25566644185458,0.99108355814542,0.15638981516056896,0.23452287451627796,0.0,0.3524558448569167
ppo,64,8,1000,seed_mean,2.1580630968604737,0.06766882257339114,2.10149054544707,2.2146356482738776,0.6638124999999999,0.07740117547095596,0.5991034979475484,0.7285215020524515,0.094375,0.08158770478098137,0.02616597185535116,0.16258402814464884,0.061824711583092995,0.018503912601305912,0.0463550535163936,0.07729436964979239
td3,64,8,1000,seed_mean,11.702440761363977,0.575506488345927,11.221305296573137,12.183576226154818,0.997,0.0033567628964312063,0.9941936759896332,0.9998063240103668,0.994375,0.0070089228844381,0.9885153938305205,1.0,0.00269477567232496,0.00390329938251661,0.0,0.005958015619493178
analytical_ris,96,1,1000,scenario,1.982070164092587,1.7048299361413445e-06,1.9820700582999013,1.9820702698852728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01792983590741293,1.7048299361389671e-06,0.01792973011472717,0.017929941700098692
ao_grid,96,1,1000,scenario,21.58621413602814,0.2093032839060247,21.57322588654159,21.59920238551469,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ao_sca,96,1,1000,scenario,20.91025499632243,0.3819431299569165,20.88655363545997,20.93395635718489,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ddpg,96,8,1000,seed_mean,7.536783480999285,5.361966549014512,3.054067264944491,12.019499697054078,0.6097812499999999,0.21690651531000302,0.4284428651630422,0.7911196348369577,0.137625,0.3462327613037218,0.0,0.42708283220353727,0.3971745617577954,0.3047849834034825,0.1423679390339198,0.651981184481671
