method,n_ris,sum_rate_mean,sum_rate_ci95_low,sum_rate_ci95_high,qos_fraction_mean,all_qos_mean,violation_mean,solve_ms_median,solve_ms_mean
analytical_ris,16,1.981170345194901,1.9808527426695064,1.9814879477202956,0.0,0.0,0.018829654805098676,0.121565,0.12298637
ao_grid,16,16.580237609634896,16.54894815424647,16.61152706502332,1.0,1.0,0.0,177.2473555,177.7424638
ao_sca,16,14.344949276360909,14.04659476371469,14.643303789007128,0.9635,0.944,2.5313951612996952e-06,770.5149195,705.19519378
ddpg,16,8.095607781710143,5.943707508996464,10.247508054423822,0.90890625,0.79525,0.04356506398862138,0.2164635,0.21997031999999997
ppo,16,2.121617768525405,2.062964795794339,2.1802707412564715,0.6241875,0.0515,0.07946911805711704,0.38309999999999994,0.38646192
td3,16,10.766148397780512,9.977336542456843,11.55496025310418,0.98925,0.97975,0.00822519828167809,0.241761,0.24391441999999997
analytical_ris,32,1.9819768496904375,1.9819637427975445,1.9819899565833305,0.0,0.0,0.018023150309562395,0.1269225,0.12909004
ao_grid,32,18.504410336583263,18.481119403935846,18.52770126923068,1.0,1.0,0.0,294.722164,295.28485753
ao_sca,32,17.72558130338402,17.563730266540507,17.88743234022753,0.998,0.998,1.6007364363429534e-07,1021.126672,1037.95187115
ddpg,32,10.229521792569084,10.169202510675618,10.28984107446255,0.99846875,0.996375,0.002041059662630541,0.22728949999999998,0.2318133
ppo,32,2.143798663409245,2.091729770316393,2.1958675565020975,0.64678125,0.06912499999999999,0.0753201981829971,0.398904,0.40423772
td3,32,10.715992605820924,10.078475133024124,11.353510078617724,0.9961875,0.994375,0.002493966801056401,0.25472549999999994,0.25809364
analytical_ris,64,1.9820590914625897,1.9820587374712333,1.9820594454539462,0.0,0.0,0.01794090853741025,0.13873950000000002,0.14170797999999998
ao_grid,64,20.440069892488452,20.423785155669385,20.45635462930752,1.0,1.0,0.0,562.123344,562.9368782
ao_sca,64,19.904968512620894,19.878746049164405,19.93119097607738,1.0,1.0,0.0,1768.8001765,1916.5574236900002
ddpg,64,9.288710290969188,5.837224439046312,12.740196142892064,0.8674999999999999,0.623375,0.15638981516056896,0.2608195,0.28160524
ppo,64,2.1580630968604737,2.10149054544707,2.2146356482738776,0.6638124999999999,0.094375,0.061824711583092995,0.47435949999999993,0.48682448
td3,64,11.702440761363977,11.221305296573137,12.183576226154818,0.997,0.994375,0.00269477567232496,0.2879195,0.29040880999999996
analytical_ris,96,1.982070164092587,1.9820700582999013,1.9820702698852728,0.0,0.0,0.01792983590741293,0.15687099999999998,0.16121064000000002
ao_grid,96,21.58621413602814,21.57322588654159,21.59920238551469,1.0,1.0,0.0,828.6304614999999,829.96768562
ao_sca,96,20.91025499632243,20.88655363545997,20.93395635718489,1.0,1.0,0.0,2451.265496,2768.05135479
ddpg,96,7.536783480999285,3.054067264944491,12.019499697054078,0.6097812499999999,0.137625,0.3971745617577954,0.3988634999999999,0.40045311
ppo,96,2.099126832354891,2.0324854234099297,2.165768241299852,0.61025,0.059750000000000004,0.07806984988532228,0.6628130000000001,0.64989401
td3,96,12.063610540218914,11.905572809579125,12.221648270858703,0.9994375,0.9984999999999999,0.0005287992151682766,0.49376299999999995,0.4963056
analytical_ris,128,1.9820737737715548,1.9820737273989117,1.9820738201441979,0.0,0.0,0.01792622622844515,0.1541925,0.15877467
ao_grid,128,22.3917960807612,22.380258804024958,22.40333335749744,1.0,1.0,0.0,1101.365866,1102.17701536
ao_sca,128,21.609453290965693,21.584659014295244,21.63424756763614,1.0,1.0,0.0,3457.54105,3724.2132655699997
ddpg,128,4.965883048001036,0.712591891197838,9.219174204804233,0.55915625,0.004,0.5511643841559714,0.5337970000000001,0.52864801
ppo,128,2.1293461162511313,2.079843267585615,2.178848964916648,0.61384375,0.040125,0.09204862522794166,0.7864395,0.79748914
td3,128,12.411701224014006,12.273594601380633,12.54980784664738,0.99909375,0.998375,0.0010038726988776177,0.5388394999999999,0.54457609
