n_ris,method_a,method_b,paired_scenarios,mean_difference_a_minus_b,cohen_dz,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,paired_t_holm_p,wilcoxon_holm_p,paired_t_holm_significant_0_05,wilcoxon_holm_significant_0_05
16,td3,ddpg,1000,2.6705406160703684,2.7946766767438356,88.37543622260638,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
16,td3,ppo,1000,8.644530629255106,11.044666625729747,349.26302534552445,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
16,td3,ao_sca,1000,-3.5788008785803975,-0.7420746141380726,-23.466459744668974,2.4195990583838774e-97,121369.0,3.4086116570120564e-45,4.839198116767755e-97,3.4086116570120564e-45,True,True
16,td3,ao_grid,1000,-5.814089211854381,-7.842314629903769,-247.99576358156338,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
16,td3,analytical_ris,1000,8.784978052585611,11.154501612230678,352.73631258669246,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
32,td3,ddpg,1000,0.48647081325183916,0.5200078576104049,16.44409231233403,5.89342977976671e-54,116050.0,7.487217604726208e-49,1.178685955953342e-53,7.487217604726208e-49,True,True
32,td3,ppo,1000,8.57219394241168,11.051464461081087,349.47799177421496,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
32,td3,ao_sca,1000,-7.009588697563091,-2.6365084453172902,-83.37371757472133,0.0,21720.0,4.1519859513552915e-138,0.0,8.303971902710583e-138,True,True
32,td3,ao_grid,1000,-7.7884177307623395,-10.539467501698692,-333.287226306924,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
32,td3,analytical_ris,1000,8.734015756130486,11.238887698943289,355.4048349550957,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
64,td3,ddpg,1000,2.4137304703947904,2.4571916075383866,77.70322127271868,0.0,601.0,2.0167272536937123e-164,0.0,4.9887886784017696e-164,True,True
64,td3,ppo,1000,9.544377664503504,13.013496314998516,411.5228867760334,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
64,td3,ao_sca,1000,-8.202527751256918,-10.358015854439268,-327.5492214016319,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
64,td3,ao_grid,1000,-8.737629131124475,-12.005414184355008,-379.6445307625442,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
64,td3,analytical_ris,1000,9.720381669901387,13.22920457900033,418.3441810196997,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
96,td3,ddpg,1000,4.526827059219629,3.9425511790162644,124.67441517473635,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
96,td3,ppo,1000,9.964483707864023,14.299690144241001,452.19590690463264,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
96,td3,ao_sca,1000,-8.846644456103519,-11.636259017851414,-367.97081940084365,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
96,td3,ao_grid,1000,-9.522603595809228,-13.83914763496065,-437.6322740180813,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
96,td3,analytical_ris,1000,10.081540376126325,14.441262117355619,456.67280578349585,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
128,td3,ddpg,1000,7.44581817601297,8.077772308441816,255.4415891491231,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
128,td3,ppo,1000,10.282355107762875,14.022263021564857,443.422890980997,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
128,td3,ao_sca,1000,-9.197752066951685,-11.310492296467153,-357.6691711462463,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
128,td3,ao_grid,1000,-9.980094856747197,-13.797120276975555,-436.3032522653596,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
128,td3,analytical_ris,1000,10.429627450242451,14.219191498639628,449.6503162180423,0.0,0.0,3.325859118934513e-165,0.0,4.9887886784017696e-164,True,True
